ts,mv_min,mv_max,mv_avg,pct_avg,n,n_fail
1789326000,948,1012,978,77.9,30,0
1789327800,946,993,968,78.5,30,0
1789329600,948,1005,967,78.5,30,0
1789331400,935,986,955,79.3,30,0
1789333200,943,1003,973,78.2,30,0
1789335000,924,980,954,79.3,30,0
1789336800,915,983,945,79.9,30,0
1789338600,931,981,948,79.7,30,0
1789340400,924,970,945,79.9,30,0
1789342200,905,964,940,80.2,30,0
1789344000,923,955,937,80.3,30,0
1789345800,914,950,934,80.5,30,0
1789347600,904,1075,968,78.5,30,0
1789349400,1025,1076,1051,73.5,30,0
1789351200,1054,1113,1075,72.1,30,0
1789353000,1073,1199,1147,67.7,30,0
1789354800,1160,1254,1198,64.7,30,0
1789356600,1101,1232,1157,67.1,30,0
1789358400,1117,1159,1138,68.3,30,0
1789360200,1137,1225,1184,65.5,30,0
1789362000,1156,1218,1191,65.1,30,0
1789363800,1165,1207,1187,65.3,30,0
1789365600,1152,1196,1175,66.1,30,0
1789367400,1144,1191,1167,66.5,30,0
1789369200,1146,1195,1172,66.2,30,0
1789371000,1112,1164,1137,68.3,30,0
1789372800,1109,1159,1138,68.3,30,0
1789374600,1110,1164,1140,68.2,30,0
1789376400,1118,1163,1140,68.2,30,0
1789378200,1137,1183,1158,67.1,30,0
1789380000,1145,1185,1162,66.8,30,0
1789381800,1149,1191,1167,66.5,30,0
1789383600,1142,1184,1161,66.9,30,0
1789385400,1134,1188,1155,67.3,30,0
1789387200,1133,1214,1169,66.4,30,0
1789389000,1116,1175,1145,67.9,30,0
1789390800,1114,1181,1145,67.9,30,0
1789392600,1129,1212,1152,67.4,30,0
1789394400,973,1139,998,76.7,30,0
1789396200,960,1002,977,77.9,30,0
1789398000,946,1014,973,78.2,30,0
1789399800,945,984,963,78.8,30,0
1789401600,937,990,960,79.0,30,0
1789403400,941,995,965,78.7,30,0
1789405200,937,975,953,79.4,30,0
1789407000,938,984,958,79.1,30,0
1789408800,944,976,960,79.0,30,0
1789410600,925,971,946,79.8,30,0
