ts,mv_min,mv_max,mv_avg,pct_avg,n,n_fail
1790103600,1211,1245,1230,62.8,30,0
1790105400,1222,1259,1241,62.1,30,0
1790107200,1220,1261,1240,62.2,30,0
1790109000,1226,1264,1243,62.0,30,0
1790110800,1215,1266,1241,62.1,30,0
1790112600,1218,1259,1240,62.2,30,0
1790114400,1224,1269,1242,62.1,30,0
1790116200,1219,1258,1237,62.4,30,0
1790118000,1221,1256,1239,62.2,30,0
1790119800,1225,1269,1243,62.0,30,0
1790121600,1218,1282,1241,62.1,30,0
1790123400,1222,1266,1240,62.2,30,0
1790125200,1220,1263,1242,62.1,30,0
1790127000,1230,1281,1249,61.6,30,0
1790128800,1240,1303,1268,60.5,30,0
1790130600,1261,1333,1291,59.1,30,0
1790132400,1293,1335,1314,57.7,30,0
1790134200,1317,1371,1338,56.3,30,0
1790136000,1315,1412,1355,55.3,30,0
1790137800,1390,1473,1433,50.6,30,0
1790139600,1410,1455,1436,50.4,30,0
1790141400,1393,1444,1424,51.1,30,0
1790143200,1382,1425,1402,52.5,30,0
1790145000,1376,1421,1396,52.8,30,0
1790146800,1393,1433,1413,51.8,30,0
1790148600,1395,1434,1413,51.8,30,0
1790150400,1394,1444,1415,51.7,30,0
1790152200,1392,1444,1421,51.3,30,0
1790154000,1388,1439,1411,51.9,30,0
1790155800,1386,1433,1405,52.3,30,0
1790157600,1391,1437,1409,52.0,30,0
1790159400,1383,1421,1406,52.2,30,0
1790161200,1372,1414,1395,52.9,30,0
1790163000,1372,1433,1390,53.2,30,0
1790164800,1364,1406,1383,53.6,30,0
1790166600,1350,1395,1371,54.3,30,0
1790168400,1332,1371,1349,55.6,30,0
1790170200,1305,1368,1331,56.7,30,0
1790172000,1293,1341,1315,57.7,30,0
1790173800,1280,1334,1308,58.1,30,0
1790175600,1285,1324,1303,58.4,30,0
1790177400,1290,1332,1302,58.5,30,0
1790179200,1281,1332,1303,58.4,30,0
1790181000,1283,1328,1303,58.4,30,0
1790182800,1278,1320,1297,58.8,30,0
1790184600,1285,1328,1309,58.0,30,0
1790186400,1280,1312,1297,58.8,30,0
1790188200,1276,1326,1299,58.6,30,0
