ts,mv_min,mv_max,mv_avg,pct_avg,n,n_fail
1789671600,968,1005,988,77.3,30,0
1789673400,966,1008,986,77.4,30,0
1789675200,966,1024,993,77.0,30,0
1789677000,960,1008,978,77.9,30,0
1789678800,953,990,970,78.4,30,0
1789680600,955,993,970,78.4,30,0
1789682400,956,999,974,78.1,30,0
1789684200,948,988,968,78.5,30,0
1789686000,943,983,964,78.7,30,0
1789687800,943,996,969,78.4,30,0
1789689600,958,1005,974,78.1,30,0
1789691400,949,991,972,78.2,30,0
1789693200,956,1066,984,77.5,30,0
1789695000,1015,1073,1044,73.9,30,0
1789696800,1030,1071,1048,73.7,30,0
1789698600,1062,1215,1142,68.0,30,0
1789700400,1200,1268,1239,62.2,30,0
1789702200,1147,1226,1174,66.1,30,0
1789704000,1149,1194,1171,66.3,30,0
1789705800,1192,1321,1277,60.0,30,0
1789707600,1240,1313,1270,60.4,30,0
1789709400,1209,1261,1237,62.4,30,0
1789711200,1209,1247,1224,63.1,30,0
1789713000,1192,1247,1216,63.6,30,0
1789714800,1204,1240,1220,63.4,30,0
1789716600,1200,1246,1225,63.1,30,0
1789718400,1208,1252,1226,63.0,30,0
1789720200,1202,1241,1222,63.2,30,0
1789722000,1196,1260,1222,63.2,30,0
1789723800,1201,1243,1223,63.2,30,0
1789725600,1190,1237,1216,63.6,30,0
1789727400,1189,1231,1207,64.1,30,0
1789729200,1184,1219,1200,64.6,30,0
1789731000,1176,1214,1193,65.0,30,0
1789732800,1179,1254,1211,63.9,30,0
1789734600,1160,1229,1191,65.1,30,0
1789736400,1142,1179,1163,66.8,30,0
1789738200,1080,1187,1147,67.7,30,0
1789740000,1079,1114,1094,70.9,30,0
1789741800,1018,1102,1071,72.3,30,0
1789743600,1046,1083,1059,73.0,30,0
1789745400,1043,1083,1061,72.9,30,0
1789747200,1047,1096,1064,72.7,30,0
1789749000,1052,1081,1064,72.7,30,0
1789750800,1033,1100,1058,73.1,30,0
1789752600,1013,1054,1034,74.5,30,0
1789754400,1001,1041,1023,75.2,30,0
1789756200,1006,1043,1024,75.1,30,0
