ts,mv_min,mv_max,mv_avg,pct_avg,n,n_fail
1790362800,1252,1287,1274,60.1,30,0
1790364600,1242,1283,1263,60.8,30,0
1790366400,1255,1286,1268,60.5,30,0
1790368200,1249,1284,1266,60.6,30,0
1790370000,1249,1289,1267,60.6,30,0
1790371800,1251,1288,1272,60.3,30,0
1790373600,1220,1274,1244,61.9,30,0
1790375400,1220,1255,1237,62.4,30,0
1790377200,1214,1247,1227,62.9,30,0
1790379000,1203,1256,1223,63.2,30,0
1790380800,1197,1242,1224,63.1,30,0
1790382600,1211,1242,1224,63.1,30,0
1790384400,1209,1255,1232,62.6,30,0
1790386200,1219,1280,1254,61.3,30,0
1790388000,1243,1306,1271,60.3,30,0
1790389800,1273,1374,1306,58.2,30,0
1790391600,1340,1401,1373,54.2,30,0
1790393400,1311,1354,1336,56.4,30,0
1790395200,1326,1399,1363,54.8,30,0
1790397000,1384,1450,1422,51.3,30,0
1790398800,1412,1448,1432,50.7,30,0
1790400600,1402,1460,1428,50.9,30,0
1790402400,1392,1446,1410,52.0,30,0
1790404200,1375,1414,1397,52.8,30,0
1790406000,1385,1427,1406,52.2,30,0
1790407800,1401,1439,1416,51.6,30,0
1790409600,1394,1436,1414,51.7,30,0
1790411400,1399,1443,1414,51.7,30,0
1790413200,1397,1446,1419,51.4,30,0
1790415000,1389,1436,1415,51.7,30,0
1790416800,1391,1437,1417,51.6,30,0
1790418600,1373,1432,1405,52.3,30,0
1790420400,1375,1412,1392,53.1,30,0
1790422200,1372,1404,1386,53.4,30,0
1790424000,1369,1443,1387,53.4,30,0
1790425800,1349,1406,1381,53.7,30,0
1790427600,1360,1393,1372,54.3,30,0
1790429400,1333,1395,1362,54.9,30,0
1790431200,1329,1369,1348,55.7,30,0
1790433000,1321,1361,1338,56.3,30,0
1790434800,1317,1359,1339,56.2,30,0
1790436600,1312,1348,1327,57.0,30,0
1790438400,1308,1359,1332,56.7,30,0
1790440200,1312,1356,1330,56.8,30,0
1790442000,1306,1345,1324,57.1,30,0
1790443800,1301,1341,1321,57.3,30,0
1790445600,1297,1341,1319,57.4,30,0
1790447400,1301,1351,1319,57.4,30,0
