ts,mv_min,mv_max,mv_avg,pct_avg,n,n_fail
1790276400,1214,1249,1229,62.8,30,0
1790278200,1198,1232,1218,63.5,30,0
1790280000,1209,1270,1225,63.1,30,0
1790281800,1192,1236,1222,63.2,30,0
1790283600,1202,1236,1222,63.2,30,0
1790285400,1199,1242,1217,63.5,30,0
1790287200,1191,1243,1215,63.7,30,0
1790289000,1196,1230,1212,63.8,30,0
1790290800,1185,1228,1210,64.0,30,0
1790292600,1180,1234,1201,64.5,30,0
1790294400,1186,1217,1199,64.6,30,0
1790296200,1179,1224,1203,64.4,30,0
1790298000,1190,1225,1201,64.5,30,0
1790299800,1202,1243,1222,63.2,30,0
1790301600,1207,1260,1239,62.2,30,0
1790303400,1232,1380,1299,58.6,30,0
1790305200,1350,1418,1389,53.2,30,0
1790307000,1312,1356,1331,56.7,30,0
1790308800,1319,1386,1345,55.9,30,0
1790310600,1390,1463,1426,51.0,30,0
1790312400,1432,1472,1447,49.8,30,0
1790314200,1424,1476,1447,49.8,30,0
1790316000,1396,1453,1422,51.3,30,0
1790317800,1391,1426,1407,52.2,30,0
1790319600,1396,1441,1414,51.7,30,0
1790321400,1382,1429,1407,52.2,30,0
1790323200,1390,1423,1405,52.3,30,0
1790325000,1372,1431,1403,52.4,30,0
1790326800,1393,1439,1415,51.7,30,0
1790328600,1396,1434,1414,51.7,30,0
1790330400,1389,1432,1412,51.9,30,0
1790332200,1388,1430,1402,52.5,30,0
1790334000,1379,1428,1393,53.0,30,0
1790335800,1361,1408,1386,53.4,30,0
1790337600,1369,1414,1391,53.1,30,0
1790339400,1357,1399,1379,53.8,30,0
1790341200,1330,1380,1356,55.2,30,0
1790343000,1313,1372,1339,56.2,30,0
1790344800,1305,1350,1327,57.0,30,0
1790346600,1300,1341,1320,57.4,30,0
1790348400,1300,1334,1315,57.7,30,0
1790350200,1293,1345,1312,57.9,30,0
1790352000,1292,1325,1308,58.1,30,0
1790353800,1283,1319,1301,58.5,30,0
1790355600,1279,1312,1299,58.6,30,0
1790357400,1270,1317,1290,59.2,30,0
1790359200,1261,1325,1287,59.4,30,0
1790361000,1255,1304,1282,59.7,30,0
