ts,mv_min,mv_max,mv_avg,pct_avg,n,n_fail
1790190000,1292,1333,1306,58.2,30,0
1790191800,1276,1317,1294,58.9,30,0
1790193600,1278,1308,1296,58.8,30,0
1790195400,1271,1306,1290,59.2,30,0
1790197200,1270,1320,1296,58.8,30,0
1790199000,1280,1318,1301,58.5,30,0
1790200800,1287,1329,1304,58.3,30,0
1790202600,1284,1328,1304,58.3,30,0
1790204400,1262,1329,1301,58.5,30,0
1790206200,1280,1346,1303,58.4,30,0
1790208000,1288,1326,1300,58.6,30,0
1790209800,1273,1309,1291,59.1,30,0
1790211600,1270,1313,1289,59.2,30,0
1790229600,1306,1371,1333,56.6,27,0
1790231400,1318,1357,1337,56.4,30,0
1790235000,1343,1400,1383,53.6,30,0
1790236800,1354,1421,1388,53.3,30,0
1790238600,1368,1399,1384,53.5,30,0
1790240400,1368,1409,1389,53.2,30,0
1790242200,1375,1421,1392,53.1,30,0
1790244000,1382,1421,1399,52.6,30,0
1790245800,1362,1409,1384,53.5,30,0
1790247600,1353,1403,1372,54.3,30,0
1790249400,1332,1389,1362,54.9,30,0
1790251200,1335,1394,1362,54.9,30,0
1790253000,1331,1381,1355,55.3,30,0
1790254800,1301,1350,1322,57.3,30,0
1790256600,1274,1336,1302,58.5,30,0
1790258400,1244,1310,1277,60.0,30,0
1790260200,1247,1280,1264,60.7,30,0
1790262000,1248,1284,1268,60.5,30,0
1790263800,1240,1284,1261,60.9,30,0
1790265600,1244,1290,1269,60.4,30,0
1790267400,1231,1278,1259,61.0,30,0
1790269200,1241,1279,1261,60.9,30,0
1790271000,1231,1267,1250,61.6,30,0
1790272800,1230,1263,1246,61.8,30,0
1790274600,1220,1264,1238,62.3,30,0
