ts,mv_min,mv_max,mv_avg,pct_avg,n,n_fail
1789844400,1099,1152,1126,69.0,30,0
1789846200,1101,1133,1114,69.7,30,0
1789848000,1111,1152,1127,68.9,30,0
1789849800,1100,1163,1125,69.1,30,0
1789851600,1105,1148,1123,69.2,30,0
1789853400,1104,1159,1135,68.5,30,0
1789855200,1122,1167,1140,68.2,30,0
1789857000,1119,1157,1135,68.5,30,0
1789858800,1120,1155,1138,68.3,30,0
1789860600,1130,1172,1145,67.9,30,0
1789862400,1121,1160,1144,67.9,30,0
1789864200,1135,1170,1149,67.6,30,0
1789866000,1125,1202,1149,67.6,30,0
1789867800,1148,1193,1173,66.2,30,0
1789869600,1141,1179,1160,67.0,30,0
1789871400,1157,1259,1210,64.0,30,0
1789873200,1180,1247,1203,64.4,30,0
1789875000,1174,1224,1209,64.0,30,0
1789876800,1200,1242,1222,63.2,30,0
1789878600,1206,1246,1227,62.9,30,0
1789880400,1239,1289,1262,60.9,30,0
1789882200,1237,1308,1275,60.1,30,0
1789884000,1245,1299,1272,60.3,30,0
1789885800,1261,1317,1286,59.4,30,0
1789887600,1274,1311,1289,59.2,30,0
1789889400,1263,1305,1284,59.5,30,0
1789891200,1273,1311,1292,59.1,30,0
1789893000,1280,1317,1301,58.5,30,0
1789894800,1278,1323,1296,58.8,30,0
1789896600,1257,1300,1280,59.8,30,0
1789898400,1263,1306,1285,59.5,30,0
1789900200,1265,1307,1281,59.7,30,0
1789902000,1256,1299,1276,60.0,30,0
1789903800,1249,1290,1271,60.3,30,0
1789905600,1238,1290,1274,60.1,30,0
1789907400,1241,1306,1263,60.8,30,0
1789909200,1215,1278,1239,62.2,30,0
1789911000,1171,1240,1217,63.5,30,0
1789912800,1140,1207,1169,66.4,30,0
1789914600,1143,1179,1159,67.0,30,0
1789916400,1142,1171,1154,67.3,30,0
1789918200,1117,1170,1147,67.7,30,0
1789920000,1129,1161,1146,67.8,10,0
1789921800,1122,1164,1139,68.2,30,0
1789923600,1107,1145,1126,69.0,30,0
1789925400,1104,1141,1120,69.4,30,0
1789927200,1107,1150,1126,69.0,30,0
1789929000,1100,1128,1116,69.6,30,0
