ts,mv_min,mv_max,mv_avg,pct_avg,n,n_fail
1789585200,929,980,958,79.1,30,0
1789587000,923,985,953,79.4,30,0
1789588800,925,969,947,79.7,30,0
1789590600,913,969,935,80.5,30,0
1789592400,909,966,937,80.3,30,0
1789594200,932,968,951,79.5,30,0
1789596000,924,960,944,79.9,30,0
1789597800,929,966,948,79.7,30,0
1789599600,904,979,927,80.9,30,0
1789601400,896,930,915,81.7,30,0
1789603200,882,932,901,82.5,30,0
1789605000,880,915,896,82.8,30,0
1789606800,878,995,910,82.0,30,0
1789608600,967,1019,992,77.0,30,0
1789610400,974,1040,1015,75.7,30,0
1789612200,1019,1159,1095,70.9,30,0
1789614000,1153,1202,1178,65.9,30,0
1789615800,1096,1177,1125,69.1,30,0
1789617600,1109,1159,1130,68.8,30,0
1789619400,1121,1248,1216,63.6,30,0
1789621200,1212,1252,1232,62.6,30,0
1789623000,1188,1263,1216,63.6,30,0
1789624800,1165,1217,1199,64.6,30,0
1789626600,1170,1217,1192,65.0,30,0
1789628400,1177,1220,1194,64.9,30,0
1789630200,1177,1222,1197,64.7,30,0
1789632000,1161,1233,1197,64.7,30,0
1789633800,1174,1213,1197,64.7,30,0
1789635600,1163,1227,1192,65.0,30,0
1789637400,1124,1207,1175,66.1,7,0
1789639200,1150,1219,1184,65.5,30,0
1789641000,1135,1192,1166,66.6,30,0
1789642800,1146,1180,1160,67.0,30,0
1789644600,1140,1180,1162,66.8,30,0
1789648200,1093,1205,1161,66.9,28,0
1789650000,1125,1167,1150,67.6,30,0
1789651800,1086,1194,1146,67.8,30,0
1789653600,1025,1102,1053,73.4,30,0
1789655400,1003,1044,1025,75.1,30,0
1789657200,992,1048,1021,75.3,30,0
1789659000,990,1035,1012,75.8,30,0
1789660800,988,1033,1013,75.8,30,0
1789662600,988,1035,1013,75.8,30,0
1789664400,993,1030,1013,75.8,30,0
1789666200,996,1036,1009,76.0,30,0
1789668000,972,1026,1000,76.6,30,0
1789669800,962,1005,986,77.4,30,0
