ts,mv_min,mv_max,mv_avg,pct_avg,n,n_fail
1789412400,928,971,945,79.9,30,0
1789414200,922,976,945,79.9,30,0
1789416000,931,981,954,79.3,30,0
1789417800,929,983,948,79.7,30,0
1789419600,923,970,945,79.9,28,0
1789421400,938,979,955,79.3,30,0
1789423200,925,973,951,79.5,30,0
1789425000,927,968,950,79.6,30,0
1789426800,927,973,946,79.8,30,0
1789428600,923,987,946,79.8,30,0
1789430400,925,980,944,79.9,30,0
1789432200,927,964,944,79.9,30,0
1789434000,923,1068,982,77.6,30,0
1789435800,1040,1084,1060,73.0,30,0
1789437600,1042,1090,1065,72.7,30,0
1789439400,1065,1179,1121,69.3,30,0
1789441200,1169,1231,1200,64.6,30,0
1789443000,1157,1208,1176,66.0,30,0
1789444800,1139,1208,1168,66.5,30,0
1789446600,1155,1273,1224,63.1,30,0
1789448400,1202,1255,1227,62.9,30,0
1789450200,1191,1240,1208,64.1,30,0
1789452000,1167,1238,1195,64.9,30,0
1789453800,1174,1215,1191,65.1,30,0
1789455600,1185,1225,1204,64.3,30,0
1789457400,1179,1221,1201,64.5,30,0
1789459200,1171,1226,1195,64.9,30,0
1789461000,1165,1224,1186,65.4,30,0
1789462800,1163,1211,1180,65.8,30,0
1789464600,1150,1197,1181,65.7,30,0
1789466400,1160,1212,1187,65.3,30,0
1789468200,1156,1212,1182,65.6,30,0
1789470000,1145,1197,1174,66.1,30,0
1789471800,1149,1191,1169,66.4,30,0
1789473600,1147,1197,1174,66.1,30,0
1789475400,1137,1201,1168,66.5,30,0
1789477200,1130,1166,1145,67.9,30,0
1789479000,1044,1179,1144,67.9,30,0
1789480800,1002,1086,1030,74.8,30,0
1789482600,1024,1080,1050,73.6,30,0
1789484400,998,1033,1014,75.7,30,0
1789486200,991,1029,1012,75.8,30,0
1789488000,995,1044,1024,75.1,30,0
1789489800,997,1068,1033,74.6,30,0
1789491600,1000,1052,1022,75.2,30,0
1789493400,972,1073,1035,74.5,30,0
1789495200,974,1027,1006,76.2,30,0
1789497000,968,1002,985,77.5,30,0
