ts,mv_min,mv_max,mv_avg,pct_avg,n,n_fail
1789498800,971,1023,988,77.3,30,0
1789500600,973,1031,993,77.0,30,0
1789502400,961,1011,980,77.8,30,0
1789504200,973,1011,989,77.2,30,0
1789506000,963,1000,981,77.7,30,0
1789507800,965,1045,1008,76.1,30,0
1789509600,999,1045,1019,75.4,30,0
1789511400,975,1036,1012,75.8,30,0
1789513200,942,1021,983,77.6,30,0
1789515000,978,1076,1017,75.5,30,0
1789516800,948,1014,970,78.4,30,0
1789518600,921,994,962,78.8,30,0
1789520400,939,1069,988,77.3,30,0
1789522200,1027,1078,1053,73.4,30,0
1789524000,1031,1101,1074,72.1,30,0
1789525800,1073,1171,1125,69.1,30,0
1789527600,1166,1220,1188,65.3,30,0
1789529400,1112,1182,1154,67.3,30,0
1789531200,1106,1148,1125,69.1,30,0
1789533000,1131,1227,1199,64.6,30,0
1789534800,1191,1275,1228,62.9,30,0
1789536600,1175,1247,1199,64.6,30,0
1789538400,1174,1209,1189,65.2,30,0
1789540200,1146,1220,1187,65.3,30,0
1789542000,1188,1233,1206,64.2,30,0
1789543800,1166,1219,1193,65.0,30,0
1789545600,1167,1215,1188,65.3,30,0
1789547400,1168,1205,1186,65.4,30,0
1789549200,1169,1212,1189,65.2,30,0
1789551000,1165,1208,1193,65.0,30,0
1789552800,1165,1220,1188,65.3,30,0
1789554600,1157,1209,1184,65.5,30,0
1789556400,1150,1188,1168,66.5,30,0
1789558200,1134,1182,1154,67.3,30,0
1789560000,1131,1189,1160,67.0,30,0
1789561800,1112,1171,1137,68.3,30,0
1789563600,1114,1149,1130,68.8,30,0
1789565400,1024,1165,1111,69.9,30,0
1789567200,1025,1058,1038,74.3,30,0
1789570800,980,1025,1005,76.3,23,0
1789572600,986,1024,1003,76.4,30,0
1789574400,965,1016,993,77.0,30,0
1789576200,959,1006,978,77.9,30,0
1789578000,959,1002,978,77.9,30,0
1789579800,960,998,980,77.8,30,0
1789581600,953,1000,981,77.7,30,0
1789583400,947,994,972,78.2,30,0
