ts,mv_min,mv_max,mv_avg,pct_avg,n,n_fail
1789930800,1085,1143,1112,69.8,30,0
1789932600,1073,1128,1099,70.6,30,0
1789934400,1078,1118,1100,70.6,30,0
1789936200,1072,1139,1098,70.7,30,0
1789938000,1075,1131,1101,70.5,30,0
1789939800,1080,1116,1099,70.6,30,0
1789941600,1073,1114,1092,71.0,30,0
1789943400,1073,1108,1090,71.2,30,0
1789945200,1071,1114,1092,71.0,30,0
1789947000,1084,1117,1100,70.6,30,0
1789948800,1080,1124,1102,70.4,30,0
1789950600,1085,1121,1102,70.4,30,0
1789952400,1070,1140,1098,70.7,30,0
1789954200,1108,1169,1132,68.6,30,0
1789956000,1130,1174,1156,67.2,30,0
1789957800,1153,1327,1226,63.0,30,0
1789959600,1263,1344,1321,57.3,30,0
1789961400,1202,1273,1229,62.8,30,0
1789963200,1215,1262,1234,62.5,30,0
1789965000,1247,1373,1320,57.4,30,0
1789966800,1318,1376,1345,55.9,30,0
1789968600,1293,1352,1323,57.2,30,0
1789970400,1283,1332,1307,58.2,30,0
1789972200,1287,1322,1302,58.5,30,0
1789974000,1292,1327,1309,58.0,30,0
1789975800,1298,1339,1323,57.2,30,0
1789977600,1298,1345,1320,57.4,30,0
1789979400,1291,1350,1311,57.9,30,0
1789981200,1290,1332,1310,58.0,30,0
1789983000,1289,1330,1307,58.2,30,0
1789984800,1277,1327,1307,58.2,30,0
1789986600,1270,1316,1295,58.9,30,0
1789988400,1270,1311,1288,59.3,30,0
1789990200,1267,1307,1287,59.4,30,0
1789992000,1268,1332,1299,58.6,30,0
1789993800,1260,1313,1286,59.4,30,0
1789995600,1222,1274,1249,61.6,30,0
1789997400,1182,1256,1224,63.1,30,0
1789999200,1174,1218,1195,64.9,30,0
1790001000,1175,1211,1193,65.0,30,0
1790002800,1169,1204,1186,65.4,30,0
1790004600,1168,1211,1189,65.2,30,0
1790006400,1163,1205,1183,65.6,30,0
1790008200,1150,1191,1175,66.1,30,0
1790010000,1157,1201,1174,66.1,30,0
1790011800,1154,1185,1168,66.5,30,0
1790013600,1148,1189,1166,66.6,30,0
1790015400,1143,1183,1166,66.6,30,0
