ts,mv_min,mv_max,mv_avg,pct_avg,n,n_fail
1789758000,997,1045,1021,75.3,30,0
1789759800,1005,1054,1023,75.2,30,0
1789761600,1015,1047,1029,74.8,30,0
1789763400,1018,1063,1037,74.3,30,0
1789765200,1036,1088,1051,73.5,30,0
1789767000,1011,1061,1039,74.2,30,0
1789768800,1012,1053,1031,74.7,30,0
1789770600,998,1047,1024,75.1,30,0
1789772400,985,1031,1009,76.0,30,0
1789774200,982,1041,1012,75.8,30,0
1789776000,1010,1040,1026,75.0,30,0
1789777800,1019,1063,1039,74.2,30,0
1789779600,1023,1110,1052,73.4,30,0
1789781400,1081,1122,1101,70.5,30,0
1789783200,1087,1132,1111,69.9,30,0
1789785000,1113,1266,1187,65.3,30,0
1789786800,1246,1298,1273,60.2,30,0
1789788600,1184,1244,1212,63.8,30,0
1789790400,1168,1215,1188,65.3,30,0
1789792200,1195,1332,1291,59.1,30,0
1789794000,1287,1358,1312,57.9,30,0
1789795800,1273,1321,1293,59.0,30,0
1789797600,1239,1314,1283,59.6,30,0
1789799400,1245,1312,1275,60.1,30,0
1789801200,1256,1346,1299,58.6,30,0
1789803000,1250,1307,1282,59.7,30,0
1789804800,1262,1295,1279,59.8,30,0
1789806600,1254,1289,1271,60.3,30,0
1789808400,1262,1316,1280,59.8,30,0
1789810200,1253,1301,1275,60.1,30,0
1789812000,1254,1302,1273,60.2,30,0
1789813800,1244,1290,1262,60.9,30,0
1789815600,1216,1277,1253,61.4,30,0
1789817400,1224,1276,1247,61.8,30,0
1789819200,1230,1280,1254,61.3,30,0
1789821000,1213,1273,1240,62.2,30,0
1789822800,1180,1233,1205,64.3,30,0
1789824600,1136,1216,1180,65.8,30,0
1789826400,1114,1188,1139,68.2,30,0
1789828200,1101,1144,1125,69.1,30,0
1789830000,1115,1151,1133,68.6,30,0
1789831800,1116,1170,1136,68.4,30,0
1789833600,1110,1164,1138,68.3,30,0
1789835400,1113,1149,1132,68.6,30,0
1789837200,1106,1144,1125,69.1,30,0
1789839000,1105,1134,1122,69.2,30,0
1789840800,1103,1128,1114,69.7,30,0
1789842600,1106,1151,1126,69.0,30,0
