ts,mv_min,mv_max,mv_avg,pct_avg,n,n_fail
1789209000,,,,,0,19
1789210800,,,,,0,17
1789212600,609,2292,1793,29.0,27,0
1789214400,1092,1150,1132,68.6,4,0
1789216200,1063,1210,1140,68.2,30,0
1789218000,1080,1196,1118,69.5,30,0
1789219800,1062,1201,1148,67.7,30,0
1789221600,948,1115,1023,75.2,30,0
1789223400,970,1088,1018,75.5,30,0
1789225200,937,1076,1004,76.3,30,0
1789227000,1015,1093,1045,73.9,30,0
1789228800,1002,1092,1038,74.3,30,0
1789230600,1028,1093,1060,73.0,30,0
1789232400,1021,1095,1049,73.6,30,0
1789234200,1007,1086,1038,74.3,30,0
1789236000,996,1049,1023,75.2,30,0
1789237800,981,1045,1004,76.3,30,0
