ts,mv_min,mv_max,mv_avg,pct_avg,n,n_fail
1789239600,956,1030,990,77.2,30,0
1789241400,947,1015,973,78.2,30,0
1789243200,948,997,975,78.1,30,0
1789245000,940,1013,971,78.3,30,0
1789246800,954,998,972,78.2,30,0
1789248600,961,1025,982,77.6,30,0
1789250400,964,1020,989,77.2,30,0
1789252200,939,994,973,78.2,30,0
1789254000,939,995,967,78.5,30,0
1789255800,940,1008,963,78.8,30,0
1789257600,940,999,959,79.0,30,0
1789259400,930,1030,983,77.6,30,0
1789261200,952,1125,1048,73.7,30,0
1789263000,1098,1138,1113,69.8,30,0
1789264800,1079,1149,1118,69.5,30,0
1789266600,1124,1221,1180,65.8,30,0
1789268400,1201,1256,1231,62.7,30,0
1789270200,1144,1217,1182,65.6,30,0
1789272000,1125,1189,1153,67.4,30,0
1789275600,1118,1237,1205,64.3,11,0
1789277400,1186,1254,1212,63.8,30,0
1789279200,1198,1273,1231,62.7,30,0
1789281000,1176,1266,1217,63.5,30,0
1789282800,1199,1260,1232,62.6,30,0
1789284600,1205,1240,1222,63.2,30,0
1789286400,1193,1243,1217,63.5,30,0
1789288200,1179,1229,1205,64.3,30,0
1789290000,1183,1250,1203,64.4,30,0
1789291800,1189,1237,1216,63.6,30,0
1789293600,1185,1245,1219,63.4,30,0
1789295400,1189,1258,1215,63.7,30,0
1789297200,1186,1243,1205,64.3,30,0
1789299000,1184,1230,1205,64.3,30,0
1789300800,1183,1258,1217,63.5,30,0
1789302600,1157,1217,1194,64.9,30,0
1789304400,1155,1218,1189,65.2,30,0
1789306200,1149,1190,1170,66.4,30,0
1789308000,1006,1164,1050,73.6,30,0
1789309800,994,1047,1024,75.1,30,0
1789311600,1003,1051,1030,74.8,30,0
1789313400,998,1059,1029,74.8,30,0
1789315200,993,1046,1022,75.2,30,0
1789317000,990,1049,1021,75.3,30,0
1789318800,984,1070,1012,75.8,30,0
1789320600,980,1023,999,76.6,30,0
1789322400,963,1018,988,77.3,30,0
1789324200,973,1035,992,77.0,30,0
