ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1788006600,41.6,42.5,42.3,13.0,13.0,13.0,27,0
1788008400,38.0,41.6,39.6,13.0,18.0,15.1,30,0
1788010200,35.6,38.0,36.8,18.0,19.0,18.9,30,0
1788012000,35.2,35.6,35.3,20.0,20.0,20.0,21,0
1788013800,34.2,34.8,34.5,21.0,21.0,21.0,30,0
1788015600,33.8,33.8,33.8,23.0,23.0,23.0,4,0
1788017400,33.3,33.8,33.5,21.0,23.0,22.6,30,0
1788019200,32.8,33.3,33.0,21.0,23.0,22.1,30,0
1788021000,32.3,32.8,32.4,22.0,24.0,22.4,30,0
1788022800,31.8,32.3,32.2,23.0,24.0,23.8,30,0
1788024600,31.8,31.8,31.8,23.0,24.0,23.7,7,0
1788026400,31.3,31.8,31.6,23.0,24.0,23.7,25,0
1788028200,31.3,31.3,31.3,24.0,24.0,24.0,30,0
