ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1788030000,30.8,31.3,30.9,24.0,24.0,24.0,30,0
1788031800,30.2,30.8,30.6,24.0,24.0,24.0,30,0
1788033600,30.2,30.2,30.2,24.0,24.0,24.0,30,0
1788035400,29.8,29.9,29.8,25.0,26.0,25.3,30,0
1788037200,29.3,29.8,29.7,26.0,27.0,26.0,31,0
1788039000,29.3,29.3,29.3,27.0,27.0,27.0,30,0
1788040800,28.9,29.3,29.3,27.0,27.0,27.0,30,0
1788042600,28.9,28.9,28.9,27.0,27.0,27.0,30,0
1788044400,28.5,28.9,28.9,27.0,28.0,27.1,30,0
1788046200,28.5,28.5,28.5,27.0,28.0,27.3,30,0
1788048000,28.5,28.5,28.5,27.0,28.0,27.6,30,0
1788049800,28.0,28.5,28.4,27.0,27.0,27.0,30,0
1788051600,28.0,28.0,28.0,27.0,28.0,27.7,30,0
1788053400,28.0,28.0,28.0,27.0,28.0,27.6,30,0
1788055200,28.0,28.5,28.1,27.0,28.0,28.0,30,0
1788057000,28.5,28.5,28.5,28.0,29.0,28.1,30,0
1788058800,28.5,28.9,28.6,28.0,29.0,28.1,30,0
1788060600,28.9,29.3,28.9,28.0,31.0,29.7,30,0
1788062400,29.3,29.8,29.5,30.0,31.0,30.7,30,0
1788064200,29.8,30.8,30.3,28.0,30.0,29.1,30,0
1788066000,30.8,31.3,31.0,28.0,29.0,28.8,30,0
1788067800,31.3,32.3,31.8,27.0,29.0,28.0,30,0
1788069600,32.3,32.8,32.5,26.0,27.0,26.7,30,0
1788071400,32.8,33.3,33.1,23.0,26.0,24.5,30,0
1788073200,33.3,33.8,33.6,23.0,23.0,23.0,30,0
1788075000,33.8,34.2,34.0,23.0,23.0,23.0,30,0
1788076800,34.2,35.2,34.7,23.0,25.0,23.6,30,0
1788078600,35.2,35.6,35.2,23.0,24.0,23.0,30,0
1788080400,35.6,36.3,35.7,23.0,24.0,23.4,30,0
1788082200,36.3,36.9,36.4,23.0,24.0,23.4,30,0
1788084000,36.3,36.9,36.8,23.0,24.0,23.0,30,0
1788085800,36.9,37.4,37.1,23.0,24.0,23.0,30,0
1788087600,37.4,37.4,37.4,23.0,24.0,23.2,30,0
1788089400,37.4,38.0,37.7,21.0,23.0,21.7,30,0
1788091200,38.0,41.6,39.7,17.0,21.0,18.8,30,0
1788093000,41.6,42.5,42.1,14.0,17.0,14.9,30,0
1788094800,38.5,41.6,39.8,15.0,19.0,17.5,30,0
1788096600,36.9,38.5,37.5,19.0,23.0,21.2,30,0
1788098400,35.6,36.9,36.2,23.0,24.0,23.5,30,0
1788100200,35.2,35.6,35.4,24.0,25.0,24.8,30,0
1788102000,34.2,35.2,34.7,24.0,25.0,24.9,30,0
1788103800,33.8,34.2,34.1,24.0,25.0,24.7,30,0
1788105600,33.3,33.8,33.7,24.0,25.0,24.2,30,0
1788107400,33.3,33.3,33.3,24.0,26.0,24.6,30,0
1788109200,32.8,33.3,33.1,25.0,27.0,25.9,30,0
1788111000,32.8,32.8,32.8,27.0,27.0,27.0,30,0
1788112800,32.3,32.8,32.5,27.0,27.0,27.0,30,0
1788114600,31.8,32.3,32.2,27.0,27.0,27.0,30,0
