ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1789844400,27.1,27.1,27.1,19.0,19.0,19.0,30,0
1789846200,26.7,27.1,26.8,19.0,19.0,19.0,30,0
1789848000,26.7,26.7,26.7,19.0,19.0,19.0,30,0
1789849800,26.2,26.7,26.2,19.0,19.0,19.0,30,0
1789851600,26.2,26.2,26.2,19.0,19.0,19.0,30,0
1789853400,26.2,26.2,26.2,19.0,19.0,19.0,30,0
1789855200,25.8,26.2,25.9,19.0,19.0,19.0,30,0
1789857000,25.8,25.8,25.8,19.0,19.0,19.0,30,0
1789858800,25.8,25.8,25.8,19.0,19.0,19.0,30,0
1789860600,25.8,25.8,25.8,19.0,19.0,19.0,30,0
1789862400,25.8,25.8,25.8,19.0,19.0,19.0,30,0
1789864200,25.8,25.8,25.8,19.0,19.0,19.0,30,0
1789866000,25.8,25.8,25.8,19.0,19.0,19.0,30,0
1789867800,25.8,25.8,25.8,19.0,19.0,19.0,30,0
1789869600,25.3,25.8,25.3,19.0,20.0,19.3,30,0
1789871400,25.3,25.3,25.3,19.0,19.0,19.0,30,0
1789873200,25.3,25.3,25.3,19.0,20.0,19.6,30,0
1789875000,25.3,25.8,25.7,20.0,21.0,20.1,30,0
1789876800,25.8,26.2,26.1,22.0,24.0,23.3,30,0
1789878600,26.2,26.7,26.6,23.0,24.0,23.1,30,0
1789880400,26.7,27.6,27.2,23.0,24.0,23.7,30,0
1789882200,27.6,28.5,27.8,23.0,25.0,23.7,30,0
1789884000,28.5,28.9,28.5,24.0,27.0,25.5,30,0
1789885800,28.9,29.3,29.1,26.0,28.0,27.5,30,0
1789887600,29.3,29.8,29.4,28.0,29.0,28.3,30,0
1789889400,29.8,29.8,29.8,28.0,28.0,28.0,30,0
1789891200,29.8,30.2,30.0,27.0,29.0,27.5,30,0
1789893000,30.2,30.8,30.3,26.0,27.0,26.4,30,0
1789894800,30.2,30.8,30.8,24.0,26.0,25.0,30,0
1789896600,30.8,30.8,30.8,24.0,24.0,24.0,30,0
1789898400,30.8,31.3,31.0,22.0,24.0,23.2,30,0
1789900200,31.3,31.3,31.3,22.0,23.0,22.1,30,0
1789902000,31.3,31.3,31.3,22.0,22.0,22.0,30,0
1789903800,31.3,31.3,31.3,22.0,22.0,22.0,30,0
1789905600,31.3,31.8,31.3,22.0,24.0,22.5,30,0
1789907400,31.3,31.8,31.4,24.0,24.0,24.0,30,0
1789909200,30.8,31.3,31.0,24.0,24.0,24.0,30,0
1789911000,30.2,30.8,30.3,24.0,24.0,24.0,30,0
1789912800,29.8,30.2,29.9,24.0,26.0,25.4,30,0
1789914600,29.3,29.8,29.5,26.0,27.0,27.0,30,0
1789916400,28.9,29.3,29.0,27.0,28.0,27.7,30,0
1789918200,28.5,28.9,28.8,28.0,28.0,28.0,30,0
1789920000,28.0,28.5,28.4,28.0,28.0,28.0,10,0
1789921800,28.0,28.0,28.0,28.0,28.0,28.0,30,0
1789923600,27.6,28.0,27.7,28.0,29.0,28.8,30,0
1789925400,27.1,27.6,27.3,29.0,29.0,29.0,30,0
1789927200,26.7,27.1,27.0,29.0,29.0,29.0,30,0
1789929000,26.7,26.7,26.7,29.0,30.0,29.3,30,0
