ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1790362800,24.1,24.5,24.3,34.0,34.0,34.0,30,0
1790364600,24.1,24.1,24.1,34.0,34.0,34.0,30,0
1790366400,23.8,24.1,24.1,34.0,34.0,34.0,30,0
1790368200,23.8,23.8,23.8,34.0,35.0,34.0,30,0
1790370000,23.8,23.8,23.8,34.0,35.0,34.6,30,0
1790371800,23.4,23.8,23.6,34.0,35.0,34.8,30,0
1790373600,23.4,23.4,23.4,35.0,35.0,35.0,30,0
1790375400,23.0,23.4,23.1,35.0,36.0,35.8,30,0
1790377200,23.0,23.0,23.0,36.0,36.0,36.0,30,0
1790379000,23.0,23.0,23.0,36.0,37.0,36.6,30,0
1790380800,22.6,23.0,22.8,37.0,37.0,37.0,30,0
1790382600,22.2,22.6,22.4,37.0,37.0,37.0,30,0
1790384400,22.2,22.2,22.2,36.0,37.0,36.3,30,0
1790386200,22.2,22.2,22.2,36.0,37.0,36.1,30,0
1790388000,21.8,22.2,21.8,36.0,37.0,36.9,30,0
1790389800,21.8,21.8,21.8,36.0,37.0,36.6,30,0
1790391600,21.8,22.2,21.8,36.0,36.0,36.0,30,0
1790393400,22.2,22.6,22.3,35.0,36.0,35.5,30,0
1790395200,22.6,23.4,23.0,35.0,36.0,35.0,30,0
1790397000,23.4,24.1,23.9,34.0,35.0,34.2,30,0
1790398800,24.1,24.5,24.3,34.0,34.0,34.0,30,0
1790400600,24.5,24.8,24.7,33.0,34.0,33.6,30,0
1790402400,24.8,24.9,24.8,32.0,33.0,32.9,30,0
1790404200,24.8,25.3,25.0,32.0,33.0,32.1,30,0
1790406000,25.3,25.8,25.5,31.0,32.0,31.1,30,0
1790407800,25.8,26.2,25.9,30.0,31.0,30.4,30,0
1790409600,25.8,26.7,26.3,29.0,30.0,29.0,30,0
1790411400,26.7,27.1,26.7,29.0,29.0,29.0,30,0
1790413200,26.7,27.1,27.1,29.0,29.0,29.0,30,0
1790415000,27.1,27.1,27.1,29.0,29.0,29.0,30,0
1790416800,27.1,27.1,27.1,29.0,29.0,29.0,30,0
1790418600,27.1,27.5,27.2,29.0,29.0,29.0,30,0
1790420400,27.1,27.3,27.1,28.0,29.0,28.9,30,0
1790422200,27.1,27.4,27.1,28.0,29.0,28.0,30,0
1790424000,27.1,27.6,27.4,28.0,28.0,28.0,30,0
1790425800,27.1,27.1,27.1,28.0,29.0,28.9,30,0
1790427600,26.7,27.1,26.8,29.0,29.0,29.0,30,0
1790429400,26.2,26.7,26.5,29.0,29.0,29.0,30,0
1790431200,26.2,26.2,26.2,29.0,29.0,29.0,30,0
1790433000,25.8,26.2,25.8,29.0,30.0,29.7,30,0
1790434800,25.3,25.8,25.7,30.0,30.0,30.0,30,0
1790436600,25.3,25.3,25.3,29.0,30.0,29.9,30,0
1790438400,24.8,25.3,25.1,29.0,30.0,29.2,30,0
1790440200,24.8,24.8,24.8,29.0,30.0,29.0,30,0
1790442000,24.5,24.8,24.8,29.0,30.0,30.0,30,0
1790443800,24.5,24.5,24.5,30.0,30.0,30.0,30,0
1790445600,24.5,24.5,24.5,30.0,30.0,30.0,30,0
1790447400,24.1,24.5,24.4,30.0,31.0,30.5,30,0
