ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1788980400,29.3,29.3,29.3,22.0,22.0,22.0,30,0
1788982200,28.9,29.3,28.9,22.0,23.0,22.1,30,0
1788984000,28.5,28.9,28.8,22.0,23.0,22.8,30,0
1788985800,28.5,28.5,28.5,22.0,23.0,23.0,30,0
1788987600,28.0,28.5,28.1,23.0,23.0,23.0,30,0
1788989400,28.0,28.0,28.0,23.0,23.0,23.0,30,0
1788991200,27.6,28.0,27.7,23.0,24.0,23.7,30,0
1788993000,27.6,27.6,27.6,24.0,24.0,24.0,30,0
1788994800,27.1,27.6,27.5,24.0,24.0,24.0,30,0
1788996600,27.1,27.1,27.1,24.0,25.0,24.1,30,0
1788998400,27.1,27.1,27.1,25.0,26.0,25.6,30,0
1789000200,27.1,27.1,27.1,26.0,26.0,26.0,30,0
1789002000,27.1,27.1,27.1,26.0,26.0,26.0,30,0
1789003800,27.1,27.1,27.1,26.0,26.0,26.0,30,0
1789005600,27.1,27.1,27.1,26.0,26.0,26.0,30,0
1789007400,27.1,27.1,27.1,26.0,26.0,26.0,30,0
1789009200,27.1,27.5,27.1,26.0,27.0,26.5,30,0
1789011000,27.6,27.6,27.6,26.0,28.0,26.9,30,0
1789012800,28.0,28.5,28.2,25.0,26.0,25.3,30,0
1789014600,28.5,29.3,29.0,26.0,28.0,27.5,30,0
1789016400,29.3,30.2,29.8,27.0,29.0,27.8,30,0
1789018200,30.2,30.8,30.4,24.0,26.0,24.9,30,0
1789020000,30.8,31.3,31.2,22.0,24.0,22.5,30,0
1789021800,31.3,32.3,31.7,21.0,22.0,21.4,30,0
1789023600,32.3,32.8,32.5,21.0,21.0,21.0,30,0
1789025400,32.8,33.3,33.0,18.0,21.0,20.4,30,0
1789027200,33.3,33.8,33.5,20.0,20.0,20.0,30,0
1789029000,33.8,34.2,33.9,20.0,20.0,20.0,30,0
1789030800,34.2,34.7,34.3,18.0,20.0,19.6,30,0
1789032600,34.7,34.7,34.7,18.0,20.0,19.2,30,0
1789034400,34.7,35.2,34.9,16.0,18.0,17.3,30,0
1789036200,35.2,35.2,35.2,16.0,16.0,16.0,30,0
1789038000,35.2,35.6,35.3,16.0,16.0,16.0,30,0
1789039800,35.6,35.6,35.6,16.0,16.0,16.0,30,0
1789041600,35.6,38.0,36.8,15.0,16.0,16.0,30,0
1789043400,36.9,38.0,37.7,15.0,16.0,15.4,30,0
1789045200,34.7,36.9,35.8,16.0,20.0,18.0,30,0
1789047000,33.8,34.7,34.3,20.0,21.0,20.0,30,0
1789048800,33.3,33.8,33.6,21.0,21.0,21.0,30,0
1789050600,32.8,33.3,33.0,20.0,21.0,20.8,30,0
1789052400,31.8,32.8,32.2,21.0,21.0,21.0,30,0
1789054200,31.3,31.8,31.5,21.0,21.0,21.0,30,0
1789056000,30.8,31.3,31.1,21.0,21.0,21.0,30,0
1789057800,30.8,30.8,30.8,21.0,21.0,21.0,30,0
1789059600,30.2,30.8,30.6,21.0,21.0,21.0,30,0
1789061400,30.2,30.2,30.2,21.0,22.0,21.1,30,0
1789063200,29.8,30.2,29.9,21.0,23.0,21.8,30,0
1789065000,29.8,29.8,29.8,22.0,22.0,22.0,30,0
