ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1789585200,26.7,26.7,26.7,31.0,32.0,31.9,30,0
1789587000,26.2,26.7,26.6,32.0,32.0,32.0,30,0
1789588800,26.2,26.2,26.2,31.0,32.0,31.7,30,0
1789590600,25.8,26.2,26.0,31.0,31.0,31.0,30,0
1789592400,25.8,25.8,25.8,31.0,31.0,31.0,30,0
1789594200,25.3,25.8,25.4,30.0,31.0,30.0,30,0
1789596000,25.3,25.3,25.3,29.0,30.0,29.9,30,0
1789597800,24.8,25.2,24.8,29.0,30.0,29.5,30,0
1789599600,24.8,24.8,24.8,29.0,30.0,29.5,30,0
1789601400,24.5,24.8,24.7,29.0,30.0,29.8,30,0
1789603200,24.5,24.5,24.5,30.0,30.0,30.0,30,0
1789605000,24.5,24.5,24.5,30.0,31.0,30.8,30,0
1789606800,24.5,24.5,24.5,31.0,31.0,31.0,30,0
1789608600,24.1,24.5,24.2,31.0,32.0,31.6,30,0
1789610400,24.1,24.1,24.1,31.0,32.0,31.8,30,0
1789612200,24.1,24.1,24.1,31.0,32.0,31.1,30,0
1789614000,24.1,24.1,24.1,31.0,31.0,31.0,30,0
1789615800,24.1,24.5,24.2,31.0,32.0,31.8,30,0
1789617600,24.5,25.3,24.8,31.0,32.0,31.5,30,0
1789619400,25.3,26.2,25.6,29.0,31.0,30.0,30,0
1789621200,26.2,26.7,26.4,29.0,30.0,29.7,30,0
1789623000,26.7,27.1,26.8,29.0,30.0,29.4,30,0
1789624800,27.1,27.6,27.2,29.0,29.0,29.0,30,0
1789626600,27.6,28.0,27.8,27.0,29.0,27.9,30,0
1789628400,28.0,28.5,28.4,25.0,27.0,25.9,30,0
1789630200,28.5,28.9,28.5,23.0,25.0,24.6,30,0
1789632000,28.5,28.9,28.8,22.0,25.0,23.1,30,0
1789633800,28.9,29.3,29.3,22.0,23.0,22.8,30,0
1789635600,29.3,29.8,29.6,22.0,23.0,22.1,30,0
1789637400,29.8,29.8,29.8,22.0,22.0,22.0,7,0
1789639200,29.8,30.2,30.0,21.0,22.0,21.4,30,0
1789641000,30.2,30.2,30.2,21.0,21.0,21.0,30,0
1789642800,30.2,30.8,30.6,18.0,21.0,19.2,30,0
1789644600,30.8,30.8,30.8,18.0,19.0,18.2,30,0
1789648200,31.3,31.3,31.3,18.0,18.0,18.0,28,0
1789650000,30.2,31.3,30.8,19.0,21.0,20.2,30,0
1789651800,29.8,30.2,30.0,21.0,22.0,21.5,30,0
1789653600,29.3,29.8,29.5,22.0,22.0,22.0,30,0
1789655400,28.9,29.3,29.0,22.0,23.0,22.0,30,0
1789657200,28.5,28.9,28.6,22.0,23.0,22.6,30,0
1789659000,28.0,28.3,28.0,23.0,23.0,23.0,30,0
1789660800,27.6,28.0,27.7,23.0,24.0,23.8,30,0
1789662600,27.1,27.6,27.3,24.0,24.0,24.0,30,0
1789664400,26.7,27.1,27.0,24.0,24.0,24.0,30,0
1789666200,26.7,26.7,26.7,24.0,24.0,24.0,30,0
1789668000,26.2,26.7,26.3,24.0,24.0,24.0,30,0
1789669800,25.8,26.2,26.0,24.0,24.0,24.0,30,0
