ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1788894000,28.9,28.9,28.9,24.0,25.0,24.4,30,0
1788895800,28.5,28.9,28.5,23.0,24.0,23.5,30,0
1788897600,28.5,28.5,28.5,23.0,24.0,23.2,30,0
1788899400,28.0,28.5,28.1,24.0,25.0,24.4,30,0
1788901200,28.0,28.0,28.0,25.0,25.0,25.0,30,0
1788903000,28.0,28.0,28.0,25.0,26.0,25.8,30,0
1788904800,27.6,28.0,27.7,26.0,27.0,26.9,30,0
1788906600,27.6,27.6,27.6,27.0,27.0,27.0,30,0
1788908400,27.1,27.6,27.3,27.0,27.0,27.0,30,0
1788910200,27.1,27.1,27.1,27.0,27.0,27.0,30,0
1788912000,27.1,27.1,27.1,27.0,27.0,27.0,30,0
1788913800,26.7,27.1,26.9,26.0,27.0,26.4,30,0
1788915600,26.7,26.7,26.7,26.0,26.0,26.0,30,0
1788917400,26.7,26.7,26.7,26.0,27.0,26.2,30,0
1788919200,26.7,27.1,26.9,27.0,28.0,27.2,30,0
1788921000,27.1,27.1,27.1,28.0,28.0,28.0,30,0
1788922800,27.1,27.3,27.1,27.0,29.0,28.0,30,0
1788924600,27.6,28.0,27.6,26.0,27.0,26.9,30,0
1788926400,28.0,28.5,28.2,26.0,27.0,26.7,30,0
1788928200,28.9,29.3,29.0,26.0,27.0,26.2,30,0
1788930000,29.3,29.8,29.6,25.0,26.0,25.5,30,0
1788931800,29.8,30.8,30.3,24.0,25.0,24.0,30,0
1788933600,30.6,31.3,31.0,22.0,24.0,23.2,30,0
1788935400,31.3,31.8,31.3,22.0,24.0,22.9,30,0
1788937200,31.8,32.3,32.0,22.0,23.0,22.2,30,0
1788939000,32.3,32.8,32.5,22.0,22.0,22.0,30,0
1788940800,32.8,33.3,32.9,21.0,22.0,21.7,30,0
1788942600,33.3,33.8,33.4,20.0,21.0,20.3,30,0
1788944400,33.8,34.2,33.9,20.0,20.0,20.0,30,0
1788946200,34.2,34.6,34.2,20.0,20.0,20.0,30,0
1788948000,34.7,34.7,34.7,18.0,20.0,19.7,30,0
1788949800,34.7,35.2,34.7,16.0,18.0,17.6,30,0
1788951600,35.2,35.2,35.2,16.0,16.0,16.0,30,0
1788953400,35.2,35.6,35.4,16.0,16.0,16.0,30,0
1788955200,35.6,38.0,37.0,15.0,16.0,15.8,30,0
1788957000,37.4,38.5,38.3,14.0,15.0,14.0,30,0
1788958800,35.2,37.4,36.1,15.0,16.0,16.0,30,0
1788960600,33.8,35.2,34.4,16.0,18.0,17.6,30,0
1788962400,33.3,33.8,33.6,18.0,20.0,19.3,30,0
1788964200,32.8,33.3,32.9,20.0,21.0,20.7,30,0
1788966000,32.3,32.8,32.4,21.0,21.0,21.0,30,0
1788967800,31.3,31.8,31.7,19.0,21.0,20.7,30,0
1788969600,31.0,31.5,31.3,21.0,21.0,21.0,30,0
1788973200,29.8,30.1,29.9,21.0,22.0,21.9,15,0
1788975000,29.8,30.2,30.0,21.0,22.0,21.4,30,0
1788976800,29.8,29.8,29.8,22.0,22.0,22.0,30,0
1788978600,29.3,29.8,29.5,22.0,22.0,22.0,30,0
