ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1790103600,26.2,26.5,26.2,23.0,24.0,23.3,30,0
1790105400,26.2,26.2,26.2,24.0,24.0,24.0,30,0
1790107200,25.8,26.2,26.0,24.0,24.0,24.0,30,0
1790109000,25.8,25.8,25.8,24.0,24.0,24.0,30,0
1790110800,25.8,25.8,25.8,24.0,24.0,24.0,30,0
1790112600,25.3,25.8,25.7,24.0,24.0,24.0,30,0
1790114400,25.3,25.3,25.3,23.0,24.0,23.9,30,0
1790116200,25.3,25.3,25.3,23.0,23.0,23.0,30,0
1790118000,24.8,25.3,25.0,23.0,23.0,23.0,30,0
1790119800,24.8,24.8,24.8,23.0,23.0,23.0,30,0
1790121600,24.8,24.8,24.8,23.0,23.0,23.0,30,0
1790123400,24.5,24.8,24.7,23.0,23.0,23.0,30,0
1790125200,24.5,24.5,24.5,23.0,23.0,23.0,30,0
1790127000,24.5,24.5,24.5,23.0,23.0,23.0,30,0
1790128800,24.5,24.5,24.5,23.0,23.0,23.0,30,0
1790130600,24.5,24.5,24.5,23.0,23.0,23.0,30,0
1790132400,24.5,24.8,24.6,23.0,24.0,23.9,30,0
1790134200,24.8,25.3,25.0,24.0,25.0,24.2,30,0
1790136000,25.3,26.2,26.0,25.0,29.0,26.7,30,0
1790137800,26.2,27.1,26.6,26.0,26.0,26.0,30,0
1790139600,27.1,27.6,27.3,26.0,27.0,26.2,30,0
1790141400,27.6,28.5,28.1,23.0,26.0,23.6,30,0
1790143200,28.1,28.9,28.6,22.0,23.0,22.4,30,0
1790145000,28.9,29.3,29.0,22.0,22.0,22.0,30,0
1790146800,29.3,29.8,29.5,21.0,22.0,22.0,30,0
1790148600,29.8,30.2,29.9,19.0,22.0,20.0,30,0
1790150400,30.2,30.8,30.5,18.0,19.0,18.3,30,0
1790152200,30.8,31.3,31.1,17.0,18.0,17.9,30,0
1790154000,31.3,31.3,31.3,17.0,18.0,17.2,30,0
1790155800,31.3,31.8,31.5,17.0,18.0,18.0,30,0
1790157600,31.8,31.8,31.8,18.0,18.0,18.0,30,0
1790159400,31.8,31.8,31.8,18.0,18.0,18.0,30,0
1790161200,31.8,31.8,31.8,18.0,19.0,18.4,30,0
1790163000,31.8,32.3,32.1,19.0,21.0,19.7,30,0
1790164800,31.8,32.3,32.1,19.0,20.0,19.0,30,0
1790166600,31.3,31.8,31.7,19.0,21.0,19.6,30,0
1790168400,30.8,31.3,31.1,20.0,21.0,21.0,30,0
1790170200,30.2,30.8,30.5,21.0,21.0,21.0,30,0
1790172000,29.8,30.2,30.0,21.0,22.0,21.4,30,0
1790173800,29.3,29.8,29.6,22.0,22.0,22.0,30,0
1790175600,28.9,29.3,29.2,22.0,22.0,22.0,30,0
1790177400,28.5,28.9,28.9,20.0,22.0,21.0,30,0
1790179200,28.0,28.5,28.5,20.0,22.0,20.6,30,0
1790181000,28.0,28.0,28.0,20.0,22.0,21.2,30,0
1790182800,28.0,28.0,28.0,22.0,22.0,22.0,30,0
1790184600,27.6,28.0,27.6,22.0,23.0,23.0,30,0
1790186400,27.6,27.6,27.6,23.0,23.0,23.0,30,0
1790188200,27.1,27.6,27.3,23.0,23.0,23.0,30,0
