ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1790276400,23.8,23.8,23.8,30.0,30.0,30.0,30,0
1790278200,23.4,23.8,23.5,30.0,30.0,30.0,30,0
1790280000,23.0,23.4,23.3,30.0,30.0,30.0,30,0
1790281800,23.0,23.0,23.0,30.0,30.0,30.0,30,0
1790283600,22.6,23.0,22.9,30.0,31.0,30.7,30,0
1790285400,22.6,22.6,22.6,31.0,31.0,31.0,30,0
1790287200,22.6,22.6,22.6,31.0,31.0,31.0,30,0
1790289000,22.2,22.5,22.2,31.0,32.0,31.6,30,0
1790290800,22.2,22.2,22.2,32.0,32.0,32.0,30,0
1790292600,22.2,22.2,22.2,32.0,33.0,32.9,30,0
1790294400,21.8,22.2,22.1,33.0,33.0,33.0,30,0
1790296200,21.8,21.8,21.8,33.0,33.0,33.0,30,0
1790298000,21.8,21.8,21.8,33.0,34.0,33.8,30,0
1790299800,21.8,21.8,21.8,34.0,34.0,34.0,30,0
1790301600,21.8,21.8,21.8,34.0,34.0,34.0,30,0
1790303400,21.8,21.8,21.8,34.0,34.0,34.0,30,0
1790305200,21.8,21.8,21.8,34.0,35.0,34.5,30,0
1790307000,21.8,22.2,22.0,35.0,36.0,35.2,30,0
1790308800,22.2,23.0,22.7,34.0,36.0,35.3,30,0
1790310600,23.0,23.4,23.2,34.0,34.0,34.0,30,0
1790312400,23.4,24.1,23.8,34.0,34.0,34.0,30,0
1790314200,24.1,24.5,24.2,34.0,34.0,34.0,30,0
1790316000,24.5,24.8,24.7,33.0,34.0,33.8,30,0
1790317800,24.8,25.3,25.1,33.0,33.0,33.0,30,0
1790319600,25.3,25.8,25.6,32.0,32.0,32.0,30,0
1790321400,25.9,26.2,26.2,31.0,32.0,31.1,30,0
1790323200,26.2,27.1,26.7,30.0,31.0,30.7,30,0
1790325000,27.1,27.1,27.1,30.0,31.0,30.4,30,0
1790326800,27.1,27.6,27.5,30.0,31.0,30.9,30,0
1790328600,27.6,27.6,27.6,31.0,31.0,31.0,30,0
1790330400,27.6,28.0,27.9,29.0,31.0,29.4,30,0
1790332200,28.0,28.0,28.0,29.0,29.0,29.0,30,0
1790334000,28.0,28.5,28.3,29.0,29.0,29.0,30,0
1790335800,28.5,28.5,28.5,29.0,29.0,29.0,30,0
1790337600,28.5,28.9,28.6,29.0,29.0,29.0,30,0
1790339400,28.0,28.5,28.5,29.0,30.0,29.5,30,0
1790341200,27.6,28.0,27.9,30.0,32.0,31.0,30,0
1790343000,27.1,27.6,27.4,32.0,33.0,32.2,30,0
1790344800,26.7,27.1,27.0,33.0,33.0,33.0,30,0
1790346600,26.7,26.7,26.7,33.0,33.0,33.0,30,0
1790348400,25.8,26.7,26.2,33.0,34.0,33.3,30,0
1790350200,25.8,25.8,25.8,33.0,34.0,33.7,30,0
1790352000,25.3,25.8,25.6,33.0,33.0,33.0,30,0
1790353800,25.3,25.3,25.3,33.0,34.0,33.7,30,0
1790355600,25.3,25.3,25.3,33.0,34.0,34.0,30,0
1790357400,24.8,25.3,24.9,34.0,34.0,34.0,30,0
1790359200,24.5,24.8,24.7,34.0,34.0,34.0,30,0
1790361000,24.5,24.5,24.5,34.0,34.0,34.0,30,0
