ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1788548400,26.2,26.7,26.2,35.0,36.0,35.7,30,0
1788550200,26.2,26.2,26.2,36.0,36.0,36.0,30,0
1788552000,25.8,26.1,25.8,36.0,37.0,36.6,30,0
1788553800,25.8,25.8,25.8,37.0,37.0,37.0,30,0
1788555600,25.3,25.8,25.5,37.0,37.0,37.0,30,0
1788557400,25.3,25.3,25.3,37.0,38.0,37.7,30,0
1788559200,24.8,25.3,25.2,38.0,38.0,38.0,30,0
1788561000,24.8,24.8,24.8,38.0,38.0,38.0,30,0
1788562800,24.8,24.8,24.8,38.0,38.0,38.0,30,0
1788564600,24.5,24.8,24.6,38.0,38.0,38.0,30,0
1788566400,24.5,24.5,24.5,38.0,38.0,38.0,30,0
1788568200,24.5,24.5,24.5,38.0,38.0,38.0,30,0
1788570000,24.1,24.5,24.3,38.0,38.0,38.0,30,0
1788571800,24.1,24.1,24.1,38.0,38.0,38.0,30,0
1788573600,24.1,24.1,24.1,38.0,38.0,38.0,30,0
1788575400,24.1,24.5,24.4,38.0,39.0,38.1,30,0
1788577200,24.5,24.5,24.5,39.0,39.0,39.0,30,0
1788579000,24.5,24.8,24.7,39.0,39.0,39.0,30,0
1788580800,24.8,25.8,25.2,39.0,39.0,39.0,30,0
1788582600,25.8,26.2,26.0,38.0,39.0,38.7,30,0
1788584400,26.2,27.1,26.7,38.0,38.0,38.0,30,0
1788586200,27.1,27.1,27.1,37.0,38.0,37.1,30,0
1788588000,27.1,28.0,27.7,35.0,37.0,36.4,30,0
1788589800,28.0,28.5,28.2,34.0,35.0,34.5,30,0
1788591600,28.5,28.9,28.6,31.0,33.0,32.3,30,0
1788593400,28.9,29.3,29.0,31.0,32.0,31.2,30,0
1788595200,29.3,29.8,29.5,30.0,31.0,30.4,30,0
1788597000,29.8,30.2,29.9,28.0,30.0,29.2,30,0
1788598800,30.2,30.8,30.4,27.0,28.0,27.4,30,0
1788600600,30.8,30.8,30.8,25.0,27.0,26.7,30,0
1788602400,31.3,31.3,31.3,22.0,26.0,24.3,30,0
1788604200,31.3,31.8,31.4,24.0,24.0,24.0,30,0
1788606000,31.3,31.8,31.8,23.0,24.0,24.0,30,0
1788607800,31.8,32.3,32.0,22.0,24.0,23.7,30,0
1788609600,32.3,36.3,34.1,17.0,24.0,20.5,30,0
1788611400,36.3,37.4,37.2,16.0,19.0,16.3,30,0
1788613200,32.8,36.3,34.1,16.0,22.0,19.8,30,0
1788615000,30.8,32.8,31.7,22.0,24.0,22.3,30,0
1788616800,30.2,30.8,30.5,24.0,25.0,24.3,30,0
1788618600,29.8,30.2,30.0,25.0,26.0,25.6,30,0
1788620400,28.9,29.8,29.3,26.0,27.0,26.1,30,0
1788622200,28.5,28.9,28.7,27.0,27.0,27.0,30,0
1788624000,28.0,28.5,28.3,28.0,28.0,28.0,30,0
1788625800,28.0,28.0,28.0,28.0,28.0,28.0,30,0
1788627600,27.6,28.0,27.6,28.0,30.0,29.2,30,0
1788629400,27.6,27.6,27.6,29.0,30.0,29.9,30,0
1788631200,27.6,27.6,27.6,30.0,31.0,30.1,30,0
1788633000,27.1,27.6,27.2,30.0,31.0,30.0,30,0
