ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1789930800,26.2,26.7,26.3,30.0,30.0,30.0,30,0
1789932600,25.9,26.2,26.2,30.0,30.0,30.0,30,0
1789934400,25.8,25.8,25.8,30.0,31.0,30.1,30,0
1789936200,25.3,25.8,25.7,30.0,31.0,30.3,30,0
1789938000,25.3,25.3,25.3,30.0,30.0,30.0,30,0
1789939800,24.8,25.3,25.2,30.0,31.0,30.8,30,0
1789941600,24.8,24.8,24.8,31.0,31.0,31.0,30,0
1789943400,24.5,24.8,24.7,31.0,31.0,31.0,30,0
1789945200,24.5,24.5,24.5,31.0,31.0,31.0,30,0
1789947000,24.2,24.5,24.5,31.0,31.0,31.0,30,0
1789948800,24.1,24.2,24.1,31.0,31.0,31.0,30,0
1789950600,24.1,24.1,24.1,31.0,32.0,31.4,30,0
1789952400,23.8,24.1,24.0,31.0,32.0,31.2,30,0
1789954200,23.8,23.8,23.8,31.0,32.0,31.7,30,0
1789956000,23.8,23.8,23.8,32.0,32.0,32.0,30,0
1789957800,23.8,24.1,23.8,32.0,32.0,32.0,30,0
1789959600,24.1,24.1,24.1,32.0,33.0,32.5,30,0
1789961400,24.1,24.5,24.2,33.0,34.0,34.0,30,0
1789963200,24.5,25.3,25.0,34.0,35.0,34.3,30,0
1789965000,25.3,26.2,25.8,34.0,34.0,34.0,30,0
1789966800,26.2,26.7,26.5,34.0,34.0,34.0,30,0
1789968600,26.7,27.1,26.9,32.0,34.0,32.8,30,0
1789970400,27.1,27.6,27.5,31.0,32.0,31.6,30,0
1789972200,27.6,28.0,27.8,30.0,31.0,30.5,30,0
1789974000,28.0,28.5,28.2,29.0,30.0,29.3,30,0
1789975800,28.5,28.9,28.7,28.0,29.0,28.1,30,0
1789977600,28.9,29.3,28.9,27.0,28.0,27.7,30,0
1789979400,29.3,29.3,29.3,25.0,27.0,26.4,30,0
1789981200,29.8,29.8,29.8,23.0,26.0,23.7,30,0
1789983000,29.8,30.2,30.1,21.0,23.0,22.0,30,0
1789984800,30.2,30.2,30.2,21.0,22.0,21.3,30,0
1789986600,30.2,30.8,30.4,21.0,21.0,21.0,30,0
1789988400,30.8,30.8,30.8,20.0,21.0,20.9,30,0
1789990200,30.8,31.3,30.9,20.0,21.0,20.9,30,0
1789992000,31.3,31.3,31.3,21.0,21.0,21.0,30,0
1789993800,31.3,31.3,31.3,20.0,21.0,20.9,30,0
1789995600,30.2,31.3,30.8,21.0,21.0,21.0,30,0
1789997400,29.8,30.2,30.0,21.0,22.0,21.4,30,0
1789999200,29.3,29.8,29.6,22.0,23.0,22.0,30,0
1790001000,28.5,29.3,28.9,20.0,22.0,21.3,30,0
1790002800,28.0,28.5,28.1,20.0,21.0,20.0,30,0
1790004600,27.6,28.0,27.7,20.0,23.0,21.9,30,0
1790006400,27.1,27.6,27.5,23.0,23.0,23.0,30,0
1790008200,27.1,27.1,27.1,23.0,23.0,23.0,30,0
1790010000,26.7,27.1,26.9,23.0,24.0,23.1,30,0
1790011800,26.7,26.7,26.7,23.0,24.0,24.0,30,0
1790013600,26.2,26.7,26.3,24.0,24.0,24.0,30,0
1790015400,25.8,26.2,26.1,23.0,24.0,23.7,30,0
