ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1788462000,26.2,26.2,26.2,28.0,29.0,28.0,30,0
1788463800,25.8,26.2,25.9,28.0,29.0,28.9,30,0
1788465600,25.8,25.8,25.8,29.0,29.0,29.0,30,0
1788467400,25.3,25.8,25.4,29.0,29.0,29.0,30,0
1788469200,25.3,25.3,25.3,29.0,29.0,29.0,30,0
1788471000,25.3,25.3,25.3,29.0,29.0,29.0,30,0
1788472800,25.3,25.3,25.3,29.0,30.0,29.4,30,0
1788474600,24.8,25.3,25.1,30.0,31.0,30.6,30,0
1788476400,24.8,24.8,24.8,31.0,31.0,31.0,30,0
1788478200,24.8,24.8,24.8,31.0,31.0,31.0,30,0
1788480000,24.8,24.8,24.8,31.0,32.0,31.9,30,0
1788481800,24.5,24.8,24.7,32.0,32.0,32.0,30,0
1788483600,24.1,24.5,24.4,29.0,32.0,30.9,30,0
1788485400,24.1,24.1,24.1,27.0,29.0,27.9,30,0
1788487200,24.1,24.5,24.2,27.0,28.0,27.3,30,0
1788489000,24.5,24.5,24.5,28.0,29.0,28.9,30,0
1788490800,24.1,24.5,24.4,28.0,29.0,28.6,30,0
1788492600,24.1,24.5,24.2,28.0,29.0,28.8,30,0
1788494400,24.5,25.3,24.9,29.0,30.0,29.2,16,0
1788496200,25.3,25.8,25.5,29.0,29.0,29.0,30,0
1788498000,25.8,26.2,25.9,29.0,29.0,29.0,30,0
1788499800,26.2,26.7,26.3,29.0,29.0,29.0,30,0
1788501600,26.7,26.7,26.7,29.0,29.0,29.0,30,0
1788503400,27.0,27.2,27.1,29.0,29.0,29.0,30,0
1788505200,27.6,27.6,27.6,29.0,29.0,29.0,30,0
1788507000,27.9,28.5,28.0,28.0,29.0,28.0,30,0
1788508800,28.5,28.9,28.8,28.0,28.0,28.0,30,0
1788510600,28.9,29.3,29.2,28.0,28.0,28.0,30,0
1788514200,30.2,30.8,30.5,27.0,28.0,27.6,25,0
1788516000,30.8,30.8,30.8,27.0,28.0,27.8,30,0
1788517800,30.8,30.8,30.8,28.0,30.0,28.8,30,0
1788519600,30.8,30.8,30.8,29.0,30.0,29.6,30,0
1788521400,30.8,31.3,31.2,29.0,30.0,29.7,30,0
1788523200,31.3,34.2,32.7,26.0,30.0,28.3,30,0
1788525000,34.2,35.2,34.9,24.0,26.0,25.5,30,0
1788526800,31.3,34.2,32.5,26.0,29.0,27.6,30,0
1788528600,29.8,31.3,30.4,29.0,31.0,29.8,30,0
1788530400,29.3,29.8,29.5,31.0,32.0,31.8,30,0
1788532200,28.5,28.9,28.8,32.0,32.0,32.0,30,0
1788534000,28.0,28.5,28.4,31.0,32.0,31.6,30,0
1788535800,27.6,28.0,27.8,30.0,32.0,31.3,30,0
1788537600,27.6,27.6,27.6,32.0,33.0,32.8,30,0
1788539400,27.1,27.6,27.2,33.0,34.0,33.9,30,0
1788541200,27.1,27.1,27.1,34.0,35.0,34.2,30,0
1788543000,26.7,27.1,26.9,35.0,35.0,35.0,30,0
1788544800,26.7,26.7,26.7,35.0,35.0,35.0,30,0
1788546600,26.7,26.7,26.7,35.0,35.0,35.0,30,0
