ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1788289200,26.2,26.2,26.2,28.0,28.0,28.0,30,0
1788291000,26.2,26.2,26.2,28.0,29.0,28.5,30,0
1788292800,25.8,26.2,25.8,29.0,29.0,29.0,30,0
1788294600,25.3,25.8,25.7,29.0,29.0,29.0,30,0
1788296400,25.3,25.3,25.3,29.0,29.0,29.0,30,0
1788298200,24.8,25.3,25.1,29.0,29.0,29.0,30,0
1788300000,24.8,24.8,24.8,29.0,29.0,29.0,30,0
1788301800,24.5,24.8,24.6,29.0,29.0,29.0,30,0
1788303600,24.5,24.5,24.5,29.0,30.0,29.6,30,0
1788305400,24.1,24.5,24.3,29.0,30.0,29.7,30,0
1788307200,24.1,24.1,24.1,30.0,30.0,30.0,30,0
1788309000,23.8,24.1,24.0,30.0,30.0,30.0,30,0
1788310800,23.8,23.8,23.8,30.0,30.0,30.0,30,0
1788312600,23.8,23.8,23.8,30.0,31.0,30.6,30,0
1788314400,23.8,23.8,23.8,31.0,31.0,31.0,30,0
1788316200,23.8,23.8,23.8,31.0,31.0,31.0,30,0
1788318000,23.8,23.8,23.8,31.0,32.0,31.1,30,0
1788319800,23.8,24.1,24.0,30.0,32.0,30.9,30,0
1788321600,24.1,24.5,24.3,29.0,30.0,29.7,30,0
1788323400,24.5,25.3,24.9,29.0,30.0,30.0,30,0
1788325200,25.3,25.8,25.6,28.0,29.0,29.0,30,0
1788327000,25.8,26.4,26.1,27.0,29.0,28.6,30,0
1788328800,26.2,26.7,26.7,25.0,27.0,25.8,30,0
1788330600,26.7,27.1,27.0,24.0,26.0,24.7,30,0
1788332400,27.1,27.6,27.5,24.0,26.0,24.8,30,0
1788334200,27.6,28.0,27.9,23.0,24.0,23.4,30,0
1788336000,28.0,28.5,28.3,22.0,23.0,22.5,30,0
1788337800,28.5,28.9,28.7,22.0,22.0,22.0,30,0
1788339600,28.9,29.3,29.2,22.0,22.0,22.0,30,0
1788341400,29.3,29.3,29.3,22.0,22.0,22.0,30,0
1788343200,29.3,29.8,29.6,22.0,22.0,22.0,30,0
1788345000,29.3,29.8,29.6,21.0,22.0,22.0,30,0
1788346800,29.8,29.8,29.8,22.0,22.0,22.0,30,0
1788348600,29.3,29.8,29.7,20.0,22.0,20.6,30,0
1788350400,29.7,30.2,29.8,19.0,22.0,20.7,30,0
1788352200,29.3,29.8,29.7,20.0,22.0,20.5,30,0
1788354000,28.5,29.3,28.7,22.0,23.0,22.2,30,0
1788355800,27.6,28.5,28.0,23.0,25.0,23.3,30,0
1788357600,27.1,27.6,27.6,25.0,26.0,26.0,30,0
1788359400,27.1,27.1,27.1,26.0,27.0,26.5,30,0
1788361200,26.7,27.1,26.9,27.0,27.0,27.0,30,0
1788363000,26.7,26.7,26.7,27.0,28.0,28.0,24,0
1788364800,26.4,26.7,26.6,27.0,27.0,27.0,6,0
1788366600,26.2,26.7,26.5,27.0,28.0,27.6,30,0
1788368400,26.2,26.2,26.2,28.0,29.0,28.3,30,0
1788370200,25.8,26.2,26.0,28.0,29.0,28.0,30,0
1788372000,25.8,25.8,25.8,28.0,28.0,28.0,5,0
1788373800,25.3,25.8,25.7,29.0,29.0,29.0,30,0
