ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1789671600,25.8,25.8,25.8,24.0,24.0,24.0,30,0
1789673400,25.3,25.8,25.4,24.0,24.0,24.0,30,0
1789675200,25.3,25.3,25.3,24.0,24.0,24.0,30,0
1789677000,24.8,25.3,24.9,24.0,24.0,24.0,30,0
1789678800,24.5,24.8,24.8,24.0,24.0,24.0,30,0
1789680600,24.5,24.5,24.5,24.0,24.0,24.0,30,0
1789682400,24.5,24.5,24.5,24.0,24.0,24.0,30,0
1789684200,24.1,24.3,24.1,24.0,25.0,24.3,30,0
1789686000,24.1,24.1,24.1,24.0,25.0,24.3,30,0
1789687800,23.8,24.1,23.9,24.0,24.0,24.0,30,0
1789689600,23.8,23.8,23.8,24.0,25.0,24.1,30,0
1789691400,23.8,23.8,23.8,25.0,26.0,25.8,30,0
1789693200,23.4,23.8,23.7,25.0,26.0,25.4,30,0
1789695000,23.4,23.4,23.4,25.0,26.0,25.9,30,0
1789696800,23.4,23.4,23.4,26.0,26.0,26.0,30,0
1789698600,23.4,23.8,23.5,26.0,27.0,26.6,30,0
1789700400,23.8,23.8,23.8,27.0,28.0,27.2,30,0
1789702200,23.8,24.1,23.9,27.0,28.0,27.5,30,0
1789704000,24.1,25.3,24.7,24.0,27.0,25.8,30,0
1789705800,25.3,26.2,25.9,24.0,25.0,24.3,30,0
1789707600,26.2,27.1,26.7,23.0,24.0,23.7,30,0
1789709400,27.1,27.6,27.2,23.0,23.0,23.0,30,0
1789711200,27.6,27.6,27.6,23.0,23.0,23.0,30,0
1789713000,27.6,28.5,27.9,22.0,23.0,22.3,30,0
1789714800,28.0,28.9,28.5,21.0,22.0,21.9,30,0
1789716600,28.9,29.3,29.0,20.0,22.0,21.4,30,0
1789718400,29.3,29.8,29.4,20.0,22.0,21.6,30,0
1789720200,29.8,30.2,29.8,21.0,22.0,21.7,30,0
1789722000,30.2,30.8,30.3,21.0,21.0,21.0,30,0
1789723800,30.8,30.8,30.8,20.0,21.0,20.9,30,0
1789725600,30.8,31.3,30.9,20.0,21.0,20.7,30,0
1789727400,31.3,31.3,31.3,19.0,20.0,19.3,30,0
1789729200,31.3,31.3,31.3,18.0,19.0,18.7,30,0
1789731000,31.3,31.8,31.8,18.0,19.0,18.1,30,0
1789732800,31.8,32.3,32.2,18.0,18.0,18.0,30,0
1789734600,32.3,32.3,32.3,18.0,18.0,18.0,30,0
1789736400,31.3,32.3,31.7,18.0,19.0,18.5,30,0
1789738200,30.2,31.3,30.9,19.0,21.0,20.7,30,0
1789740000,29.8,30.2,30.0,21.0,22.0,21.4,30,0
1789741800,29.3,29.8,29.5,22.0,22.0,22.0,30,0
1789743600,28.5,28.9,28.8,22.0,22.0,22.0,30,0
1789745400,28.0,28.5,28.4,22.0,22.0,22.0,30,0
1789747200,28.0,28.0,28.0,22.0,22.0,22.0,30,0
1789749000,27.6,28.0,27.6,22.0,23.0,23.0,30,0
1789750800,27.1,27.6,27.4,23.0,23.0,23.0,30,0
1789752600,27.1,27.1,27.1,23.0,24.0,23.5,30,0
1789754400,26.7,27.1,26.9,24.0,24.0,24.0,30,0
1789756200,26.7,26.7,26.7,24.0,24.0,24.0,30,0
