ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1790017200,25.8,25.8,25.8,23.0,23.0,23.0,30,0
1790019000,25.3,25.8,25.4,23.0,23.0,23.0,30,0
1790020800,24.8,25.3,25.2,23.0,23.0,23.0,30,0
1790022600,24.8,24.8,24.8,23.0,23.0,23.0,30,0
1790024400,24.5,24.8,24.7,23.0,23.0,23.0,30,0
1790026200,24.5,24.5,24.5,23.0,23.0,23.0,30,0
1790028000,24.5,24.5,24.5,23.0,23.0,23.0,30,0
1790029800,24.1,24.5,24.2,23.0,23.0,23.0,30,0
1790031600,24.1,24.1,24.1,23.0,23.0,23.0,30,0
1790033400,23.8,24.1,24.0,23.0,23.0,23.0,30,0
1790035200,23.8,23.8,23.8,23.0,23.0,23.0,30,0
1790037000,23.8,23.8,23.8,23.0,23.0,23.0,30,0
1790038800,23.4,23.8,23.6,23.0,23.0,23.0,30,0
1790040600,23.4,23.4,23.4,23.0,23.0,23.0,30,0
1790042400,23.4,23.4,23.4,23.0,23.0,23.0,30,0
1790044200,23.4,23.8,23.5,23.0,24.0,23.5,30,0
1790046000,23.8,23.8,23.8,24.0,24.0,24.0,30,0
1790047800,23.8,24.1,24.0,24.0,24.0,24.0,30,0
1790049600,24.1,24.8,24.5,24.0,24.0,24.0,30,0
1790051400,24.8,25.8,25.2,24.0,24.0,24.0,30,0
1790053200,25.8,26.2,26.0,24.0,24.0,24.0,30,0
1790055000,26.2,26.7,26.5,24.0,24.0,24.0,30,0
1790056800,26.7,27.6,27.1,23.0,24.0,23.8,30,0
1790058600,27.1,28.0,27.7,22.0,23.0,22.7,30,0
1790060400,28.0,28.5,28.3,22.0,22.0,22.0,30,0
1790062200,28.5,28.9,28.8,20.0,22.0,21.7,30,0
1790064000,28.9,29.3,29.2,19.0,22.0,19.5,30,0
1790065800,29.3,29.8,29.6,19.0,19.0,19.0,30,0
1790067600,29.8,30.2,30.0,18.0,19.0,18.6,30,0
1790069400,30.2,30.8,30.3,18.0,18.0,18.0,30,0
1790071200,30.8,30.8,30.8,18.0,18.0,18.0,30,0
1790073000,30.8,31.3,30.9,18.0,18.0,18.0,30,0
1790074800,31.3,31.3,31.3,18.0,18.0,18.0,30,0
1790076600,31.3,31.7,31.3,18.0,18.0,18.0,30,0
1790078400,31.3,31.3,31.3,18.0,20.0,18.8,30,0
1790080200,30.8,31.3,30.9,19.0,21.0,20.6,30,0
1790082000,29.8,30.2,30.1,21.0,22.0,21.2,30,0
1790083800,29.3,29.8,29.7,22.0,22.0,22.0,30,0
1790085600,28.9,29.3,29.2,22.0,22.0,22.0,30,0
1790087400,28.5,28.9,28.8,22.0,22.0,22.0,30,0
1790089200,28.0,28.5,28.3,22.0,22.0,22.0,30,0
1790091000,27.6,28.0,27.9,22.0,23.0,22.2,30,0
1790092800,27.6,28.0,27.7,22.0,23.0,22.8,30,0
1790094600,27.6,27.6,27.6,23.0,23.0,23.0,30,0
1790096400,27.1,27.6,27.1,23.0,24.0,23.2,30,0
1790098200,26.7,27.1,26.7,23.0,23.0,23.0,30,0
1790100000,26.4,26.7,26.7,23.0,23.0,23.0,30,0
1790101800,26.6,26.7,26.7,23.0,23.0,23.0,30,0
