ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1788721200,28.0,28.0,28.0,25.0,26.0,25.1,30,0
1788723000,27.6,28.0,27.8,25.0,27.0,26.3,30,0
1788724800,27.1,27.6,27.5,27.0,27.0,27.0,30,0
1788726600,27.1,27.1,27.1,27.0,27.0,27.0,30,0
1788728400,27.0,27.1,27.1,27.0,27.0,27.0,30,0
1788730200,26.7,26.9,26.7,27.0,28.0,27.8,30,0
1788732000,26.7,26.7,26.7,28.0,28.0,28.0,30,0
1788733800,26.2,26.7,26.3,28.0,28.0,28.0,30,0
1788735600,26.2,26.2,26.2,28.0,29.0,28.7,30,0
1788737400,26.2,26.2,26.2,29.0,29.0,29.0,30,0
1788739200,25.8,26.2,26.0,29.0,29.0,29.0,30,0
1788741000,25.8,25.8,25.8,29.0,29.0,29.0,30,0
1788742800,25.8,25.8,25.8,29.0,30.0,29.1,30,0
1788744600,25.8,25.8,25.8,29.0,30.0,29.3,30,0
1788746400,25.8,25.8,25.8,29.0,29.0,29.0,30,0
1788748200,25.3,25.8,25.7,29.0,30.0,29.1,30,0
1788750000,25.8,25.8,25.8,29.0,30.0,29.7,30,0
1788751800,25.8,26.2,26.1,31.0,32.0,31.8,19,0
1788753600,26.2,27.1,26.9,32.0,33.0,32.9,30,0
1788755400,27.1,27.6,27.3,33.0,33.0,33.0,30,0
1788757200,27.6,28.0,27.9,31.0,33.0,32.2,30,0
1788759000,28.0,28.5,28.4,30.0,31.0,30.5,30,0
1788760800,28.5,28.5,28.5,30.0,30.0,30.0,30,0
1788762600,28.5,29.3,28.8,30.0,30.0,30.0,30,0
1788764400,29.3,29.8,29.6,28.0,30.0,29.3,30,0
1788766200,29.8,30.8,30.2,26.0,28.0,27.1,30,0
1788768000,30.8,31.3,31.0,25.0,27.0,25.7,30,0
1788769800,31.8,31.8,31.8,22.0,23.0,22.5,2,0
1788771600,31.8,32.3,32.2,22.0,23.0,22.1,30,0
1788773400,32.3,32.8,32.8,21.0,22.0,21.8,30,0
1788775200,33.1,33.3,33.3,18.0,20.0,19.8,30,0
1788777000,33.3,33.8,33.7,17.0,20.0,18.7,30,0
1788778800,33.8,33.8,33.8,18.0,19.0,18.1,30,0
1788780600,33.8,34.2,34.1,18.0,18.0,18.0,30,0
1788782400,34.2,36.9,35.5,16.0,18.0,16.5,30,0
1788784200,36.3,36.9,36.5,15.0,16.0,15.6,8,0
1788786000,33.8,36.3,34.8,16.0,18.0,16.6,30,0
1788787800,32.8,33.8,33.3,17.0,21.0,18.8,30,0
1788789600,31.8,32.8,32.3,21.0,21.0,21.0,30,0
1788791400,31.2,31.8,31.5,21.0,23.0,21.8,30,0
1788793200,30.2,30.8,30.8,23.0,24.0,23.8,30,0
1788795000,30.2,30.2,30.2,24.0,25.0,24.3,30,0
1788796800,29.8,30.2,29.9,24.0,26.0,24.9,30,0
1788798600,29.3,29.8,29.7,26.0,26.0,26.0,30,0
1788800400,29.3,29.3,29.3,25.0,26.0,25.5,30,0
1788802200,28.9,29.3,29.0,25.0,26.0,25.9,30,0
1788804000,28.9,28.9,28.9,26.0,26.0,26.0,30,0
1788805800,28.5,28.9,28.6,25.0,26.0,25.2,30,0
