ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1788807600,28.5,28.5,28.5,25.0,25.0,25.0,30,0
1788809400,28.0,28.5,28.1,25.0,25.0,25.0,30,0
1788811200,28.0,28.0,28.0,25.0,26.0,25.2,30,0
1788813000,27.6,28.0,27.9,25.0,26.0,25.4,30,0
1788814800,27.6,27.6,27.6,26.0,26.0,26.0,30,0
1788816600,27.6,27.6,27.6,26.0,26.0,26.0,30,0
1788818400,27.1,27.6,27.4,26.0,26.0,26.0,30,0
1788820200,27.1,27.1,27.1,26.0,27.0,26.4,30,0
1788822000,26.7,27.1,27.0,27.0,27.0,27.0,30,0
1788823800,26.7,26.7,26.7,27.0,28.0,27.5,30,0
1788825600,26.7,26.7,26.7,28.0,29.0,28.5,30,0
1788827400,26.7,26.7,26.7,29.0,29.0,29.0,30,0
1788829200,26.2,26.7,26.6,28.0,29.0,28.4,30,0
1788831000,26.2,26.7,26.4,28.0,28.0,28.0,30,0
1788832800,26.2,26.7,26.6,28.0,28.0,28.0,30,0
1788834600,26.7,26.7,26.7,28.0,29.0,28.6,30,0
1788836400,26.7,27.1,27.1,29.0,30.0,29.1,30,0
1788838200,27.1,27.6,27.1,29.0,30.0,29.4,30,0
1788840000,27.6,28.0,27.8,29.0,31.0,29.7,30,0
1788841800,28.0,28.9,28.6,29.0,29.0,29.0,30,0
1788843600,28.9,29.8,29.4,28.0,29.0,28.1,30,0
1788845400,29.8,30.2,30.1,27.0,28.0,27.1,30,0
1788847200,30.8,31.3,30.9,26.0,27.0,26.4,30,0
1788849000,31.3,31.8,31.6,24.0,26.0,24.7,30,0
1788850800,31.8,32.3,32.0,24.0,25.0,24.1,30,0
1788852600,32.3,32.8,32.6,23.0,24.0,24.0,30,0
1788854400,32.8,32.8,32.8,23.0,24.0,23.5,30,0
1788856200,32.8,33.8,33.3,21.0,24.0,22.3,30,0
1788858000,33.8,33.8,33.8,21.0,21.0,21.0,11,0
1788859800,33.8,34.2,34.0,21.0,21.0,21.0,30,0
1788861600,34.2,34.2,34.2,20.0,21.0,21.0,30,0
1788863400,34.2,34.7,34.4,20.0,21.0,20.5,30,0
1788865200,34.7,34.7,34.7,20.0,20.0,20.0,30,0
1788867000,34.7,35.2,34.9,19.0,20.0,19.7,30,0
1788868800,35.2,37.4,36.2,19.0,19.0,19.0,30,0
1788870600,36.9,37.4,37.3,18.0,19.0,18.5,30,0
1788872400,34.7,36.9,35.5,19.0,21.0,19.8,30,0
1788874200,33.6,34.7,34.0,21.0,23.0,22.7,30,0
1788876000,32.8,33.3,33.1,23.0,24.0,23.3,30,0
1788877800,31.8,32.8,32.3,22.0,24.0,23.8,30,0
1788879600,31.3,31.8,31.7,23.0,24.0,23.9,30,0
1788881400,30.8,31.3,31.2,24.0,24.0,24.0,30,0
1788883200,30.8,30.8,30.8,24.0,24.0,24.0,30,0
1788885000,29.8,30.2,30.2,24.0,25.0,24.1,30,0
1788886800,29.8,29.8,29.8,25.0,25.0,25.0,30,0
1788888600,29.3,29.8,29.6,24.0,25.0,24.2,30,0
1788890400,29.3,29.3,29.3,24.0,25.0,24.2,30,0
1788892200,28.9,29.3,29.0,24.0,24.0,24.0,30,0
