ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1789239600,27.1,27.6,27.3,27.0,28.0,27.9,30,0
1789241400,27.1,27.1,27.1,28.0,29.0,29.0,30,0
1789243200,26.7,27.1,26.7,29.0,29.0,29.0,30,0
1789245000,26.2,26.7,26.5,29.0,30.0,29.1,30,0
1789246800,26.2,26.2,26.2,30.0,30.0,30.0,30,0
1789248600,26.2,26.2,26.2,30.0,30.0,30.0,30,0
1789250400,25.8,26.2,25.9,30.0,30.0,30.0,30,0
1789252200,25.8,25.8,25.8,30.0,30.0,30.0,30,0
1789254000,25.8,25.8,25.8,30.0,31.0,30.8,30,0
1789255800,25.3,25.8,25.6,31.0,31.0,31.0,30,0
1789257600,25.3,25.3,25.3,31.0,31.0,31.0,30,0
1789259400,25.3,25.3,25.3,31.0,31.0,31.0,30,0
1789261200,24.8,25.3,25.1,31.0,32.0,31.2,30,0
1789263000,24.8,24.8,24.8,32.0,32.0,32.0,30,0
1789264800,24.8,24.8,24.8,32.0,32.0,32.0,30,0
1789266600,24.8,24.8,24.8,32.0,33.0,32.0,30,0
1789268400,24.8,24.8,24.8,32.0,33.0,32.1,30,0
1789270200,24.8,25.3,25.0,32.0,32.0,32.0,30,0
1789272000,25.3,25.8,25.6,32.0,33.0,33.0,30,0
1789275600,26.2,26.7,26.3,32.0,33.0,32.9,11,0
1789277400,26.7,27.1,27.0,32.0,33.0,32.1,30,0
1789279200,27.1,27.9,27.6,31.0,32.0,31.7,30,0
1789281000,27.6,28.0,27.9,27.0,31.0,28.9,30,0
1789282800,28.0,28.5,28.4,27.0,28.0,27.5,30,0
1789284600,28.5,28.9,28.9,24.0,27.0,25.8,30,0
1789286400,29.0,29.4,29.3,25.0,25.0,25.0,30,0
1789288200,29.3,30.2,29.9,23.0,25.0,24.4,30,0
1789290000,30.2,30.8,30.5,22.0,24.0,22.1,30,0
1789291800,30.8,30.8,30.8,22.0,22.0,22.0,30,0
1789293600,30.8,31.3,31.2,22.0,22.0,22.0,30,0
1789295400,31.3,31.8,31.4,21.0,22.0,21.9,30,0
1789297200,31.8,31.8,31.8,21.0,22.0,21.2,30,0
1789299000,31.8,32.3,32.0,21.0,21.0,21.0,30,0
1789300800,32.3,32.8,32.5,18.0,21.0,20.6,30,0
1789302600,32.3,32.8,32.8,19.0,21.0,20.5,30,0
1789304400,31.8,32.3,32.1,21.0,21.0,21.0,30,0
1789306200,30.8,31.8,31.3,21.0,21.0,21.0,30,0
1789308000,30.2,30.8,30.7,21.0,21.0,21.0,30,0
1789309800,29.8,30.2,30.0,21.0,22.0,21.8,30,0
1789311600,29.3,29.8,29.4,20.0,22.0,21.1,30,0
1789313400,28.5,29.3,28.9,22.0,22.0,22.0,30,0
1789315200,28.0,28.5,28.3,22.0,22.0,22.0,30,0
1789317000,28.0,28.0,28.0,22.0,22.0,22.0,30,0
1789318800,28.0,28.0,28.0,22.0,22.0,22.0,30,0
1789320600,27.6,27.8,27.6,23.0,24.0,23.6,30,0
1789322400,27.6,27.6,27.6,24.0,25.0,24.1,30,0
1789324200,27.6,27.6,27.6,24.0,26.0,25.6,30,0
