ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1789758000,26.2,26.7,26.2,24.0,24.0,24.0,30,0
1789759800,25.8,26.2,26.0,24.0,24.0,24.0,30,0
1789761600,25.3,25.8,25.8,24.0,24.0,24.0,30,0
1789763400,25.3,25.3,25.3,24.0,24.0,24.0,30,0
1789765200,24.8,25.3,25.2,23.0,23.0,23.0,30,0
1789767000,24.8,24.8,24.8,23.0,23.0,23.0,30,0
1789768800,24.8,24.8,24.8,23.0,23.0,23.0,30,0
1789770600,24.5,24.8,24.5,23.0,23.0,23.0,30,0
1789772400,24.5,24.5,24.5,23.0,23.0,23.0,30,0
1789774200,24.1,24.5,24.3,23.0,24.0,23.0,30,0
1789776000,24.1,24.1,24.1,23.0,23.0,23.0,30,0
1789777800,24.1,24.1,24.1,23.0,23.0,23.0,30,0
1789779600,23.8,24.1,23.8,23.0,23.0,23.0,30,0
1789781400,23.8,23.8,23.8,20.0,22.0,21.0,30,0
1789783200,23.8,23.8,23.8,21.0,23.0,22.1,30,0
1789785000,23.8,24.1,24.0,23.0,23.0,23.0,30,0
1789786800,24.1,24.1,24.1,23.0,24.0,23.9,30,0
1789788600,24.1,24.5,24.5,24.0,24.0,24.0,30,0
1789790400,24.8,25.8,25.1,24.0,24.0,24.0,30,0
1789792200,25.8,26.7,26.0,24.0,24.0,24.0,30,0
1789794000,26.7,27.1,26.9,24.0,24.0,24.0,30,0
1789795800,27.1,28.0,27.6,23.0,24.0,23.8,30,0
1789797600,28.0,28.5,28.2,22.0,23.0,22.5,30,0
1789799400,28.5,29.0,28.7,20.0,22.0,21.9,30,0
1789801200,28.9,29.3,29.2,19.0,22.0,20.2,30,0
1789803000,29.3,29.8,29.6,18.0,19.0,19.0,30,0
1789804800,29.8,30.2,30.0,17.0,19.0,17.6,30,0
1789806600,30.2,31.3,30.8,17.0,17.0,17.0,30,0
1789808400,31.3,31.4,31.3,17.0,17.0,17.0,30,0
1789810200,31.3,31.8,31.7,17.0,17.0,17.0,30,0
1789812000,31.8,32.3,32.1,17.0,17.0,17.0,30,0
1789813800,32.3,32.3,32.3,17.0,17.0,17.0,30,0
1789815600,32.3,32.8,32.4,17.0,17.0,17.0,30,0
1789817400,32.8,32.8,32.8,17.0,17.0,17.0,30,0
1789819200,32.8,33.3,33.2,16.0,17.0,16.1,30,0
1789821000,32.8,33.3,33.2,16.0,18.0,16.7,30,0
1789822800,31.8,32.8,32.4,18.0,20.0,18.8,30,0
1789824600,31.3,31.8,31.6,20.0,21.0,20.4,30,0
1789826400,30.8,31.3,31.0,18.0,19.0,18.5,30,0
1789828200,29.8,30.8,30.0,18.0,19.0,18.5,30,0
1789830000,29.3,29.8,29.4,18.0,19.0,18.2,30,0
1789831800,28.9,29.3,28.9,18.0,18.0,18.0,30,0
1789833600,28.5,28.9,28.6,18.0,18.0,18.0,30,0
1789835400,28.0,28.5,28.3,18.0,18.0,18.0,30,0
1789837200,28.0,28.0,28.0,18.0,18.0,18.0,30,0
1789839000,27.7,28.0,28.0,18.0,19.0,18.0,30,0
1789840800,27.6,27.6,27.6,19.0,19.0,19.0,30,0
1789842600,27.1,27.6,27.4,19.0,19.0,19.0,30,0
