ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1789412400,26.7,26.7,26.7,28.0,28.0,28.0,30,0
1789414200,26.2,26.7,26.5,28.0,28.0,28.0,30,0
1789416000,26.2,26.2,26.2,28.0,28.0,28.0,30,0
1789417800,25.8,26.2,26.2,28.0,29.0,28.1,30,0
1789419600,25.8,25.8,25.8,28.0,29.0,28.6,28,0
1789421400,25.8,25.8,25.8,28.0,28.0,28.0,30,0
1789423200,25.3,25.8,25.7,28.0,29.0,28.6,30,0
1789425000,25.3,25.3,25.3,29.0,29.0,29.0,30,0
1789426800,25.3,25.3,25.3,29.0,29.0,29.0,30,0
1789428600,25.3,25.3,25.3,29.0,29.0,29.0,30,0
1789430400,25.3,25.3,25.3,29.0,29.0,29.0,30,0
1789432200,24.8,25.2,24.9,29.0,29.0,29.0,30,0
1789434000,24.8,24.8,24.8,29.0,29.0,29.0,30,0
1789435800,24.8,24.8,24.8,29.0,30.0,29.5,30,0
1789437600,24.8,24.8,24.8,29.0,30.0,30.0,30,0
1789439400,24.8,24.8,24.8,30.0,31.0,30.1,30,0
1789441200,24.8,25.3,24.9,30.0,31.0,31.0,30,0
1789443000,25.3,25.7,25.3,30.0,31.0,30.7,30,0
1789444800,25.8,26.2,26.0,31.0,31.0,31.0,30,0
1789446600,26.2,27.1,26.6,30.0,31.0,30.7,30,0
1789448400,27.1,27.6,27.4,29.0,31.0,29.9,30,0
1789450200,27.6,28.5,28.1,28.0,29.0,28.8,30,0
1789452000,28.5,28.9,28.6,28.0,29.0,28.1,30,0
1789453800,28.9,29.3,28.9,27.0,28.0,27.6,30,0
1789455600,29.3,29.8,29.3,27.0,27.0,27.0,30,0
1789457400,29.8,30.2,29.8,25.0,27.0,26.2,30,0
1789459200,30.2,30.8,30.3,24.0,25.0,24.1,30,0
1789461000,30.8,31.3,30.8,24.0,24.0,24.0,30,0
1789462800,31.3,31.3,31.3,24.0,24.0,24.0,30,0
1789464600,31.3,31.8,31.8,22.0,24.0,23.2,30,0
1789466400,31.8,32.3,31.8,22.0,23.0,22.1,30,0
1789468200,32.3,32.3,32.3,22.0,22.0,22.0,30,0
1789470000,32.3,32.3,32.3,22.0,22.0,22.0,30,0
1789471800,32.3,32.8,32.7,22.0,22.0,22.0,30,0
1789473600,32.8,33.3,33.0,20.0,22.0,21.2,30,0
1789475400,32.8,33.3,33.2,20.0,22.0,20.6,30,0
1789477200,32.3,32.8,32.5,22.0,22.0,22.0,30,0
1789479000,31.3,31.8,31.7,21.0,23.0,21.8,30,0
1789480800,30.8,31.3,31.1,21.0,22.0,21.3,30,0
1789482600,30.2,30.8,30.4,21.0,21.0,21.0,30,0
1789484400,29.8,30.2,29.8,21.0,23.0,22.8,30,0
1789486200,29.3,29.8,29.4,23.0,24.0,23.0,30,0
1789488000,28.9,29.3,29.2,23.0,25.0,24.5,30,0
1789489800,28.5,28.9,28.8,25.0,25.0,25.0,30,0
1789491600,28.5,28.5,28.5,25.0,25.0,25.0,30,0
1789493400,28.5,28.5,28.5,25.0,26.0,25.5,30,0
1789495200,28.5,28.5,28.5,25.0,26.0,25.2,30,0
1789497000,28.0,28.5,28.1,25.0,25.0,25.0,30,0
