ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1789326000,27.1,27.6,27.2,26.0,26.0,26.0,30,0
1789327800,27.1,27.1,27.1,26.0,26.0,26.0,30,0
1789329600,26.7,27.1,26.8,26.0,27.0,26.1,30,0
1789331400,26.2,26.7,26.7,27.0,27.0,27.0,30,0
1789333200,26.2,26.2,26.2,27.0,27.0,27.0,30,0
1789335000,26.2,26.2,26.2,27.0,28.0,27.6,30,0
1789336800,25.8,26.2,26.1,28.0,28.0,28.0,30,0
1789338600,25.8,25.8,25.8,28.0,29.0,28.4,30,0
1789340400,25.8,25.8,25.8,28.0,29.0,29.0,30,0
1789342200,25.3,25.8,25.6,29.0,29.0,29.0,30,0
1789344000,25.3,25.3,25.3,29.0,29.0,29.0,30,0
1789345800,25.3,25.3,25.3,29.0,29.0,29.0,30,0
1789347600,24.8,25.3,24.9,29.0,29.0,29.0,30,0
1789349400,24.8,24.8,24.8,29.0,30.0,29.0,30,0
1789351200,24.8,24.8,24.8,29.0,30.0,30.0,30,0
1789353000,24.8,24.8,24.8,30.0,30.0,30.0,30,0
1789354800,24.8,24.8,24.8,30.0,31.0,30.3,30,0
1789356600,24.8,25.3,25.2,30.0,31.0,30.9,30,0
1789358400,25.3,26.2,25.6,30.0,31.0,30.9,30,0
1789360200,26.2,26.7,26.3,30.0,31.0,30.4,30,0
1789362000,26.7,27.1,26.9,29.0,30.0,29.6,30,0
1789363800,27.1,27.6,27.4,27.0,29.0,27.9,30,0
1789365600,27.6,28.0,27.7,25.0,27.0,26.1,30,0
1789367400,28.0,28.5,28.2,23.0,25.0,24.6,30,0
1789369200,28.5,28.9,28.6,24.0,25.0,24.9,30,0
1789371000,28.9,29.3,29.0,23.0,25.0,24.9,30,0
1789372800,29.3,29.3,29.3,23.0,25.0,24.2,30,0
1789374600,29.3,29.8,29.7,23.0,25.0,24.4,30,0
1789376400,29.9,30.2,30.2,21.0,24.0,22.4,30,0
1789378200,30.2,30.8,30.3,21.0,22.0,21.7,30,0
1789380000,30.8,30.8,30.8,21.0,22.0,21.5,30,0
1789381800,30.8,30.8,30.8,21.0,22.0,22.0,30,0
1789383600,30.8,31.3,31.2,22.0,22.0,22.0,30,0
1789385400,31.3,31.3,31.3,22.0,22.0,22.0,30,0
1789387200,31.3,31.8,31.6,21.0,22.0,21.9,30,0
1789389000,31.3,31.8,31.5,22.0,22.0,22.0,30,0
1789390800,30.2,31.3,30.8,22.0,22.0,22.0,30,0
1789392600,29.8,30.2,30.0,22.0,23.0,22.4,30,0
1789394400,29.3,29.8,29.5,22.0,23.0,22.8,30,0
1789396200,28.9,29.3,29.1,22.0,23.0,22.9,30,0
1789398000,28.9,28.9,28.9,23.0,24.0,23.1,30,0
1789399800,28.5,28.9,28.5,24.0,25.0,24.7,30,0
1789401600,28.0,28.5,28.3,25.0,25.0,25.0,30,0
1789403400,28.0,28.0,28.0,25.0,26.0,25.2,30,0
1789405200,27.6,28.0,27.7,26.0,27.0,26.8,30,0
1789407000,27.1,27.6,27.5,27.0,27.0,27.0,30,0
1789408800,27.1,27.1,27.1,27.0,28.0,27.4,30,0
1789410600,26.7,27.1,27.0,27.0,28.0,27.9,30,0
