ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1788634800,27.1,27.1,27.1,30.0,31.0,30.9,30,0
1788636600,26.7,27.1,26.8,31.0,31.0,31.0,30,0
1788638400,26.2,26.7,26.6,31.0,31.0,31.0,30,0
1788640200,26.2,26.2,26.2,31.0,31.0,31.0,30,0
1788642000,25.8,26.2,26.0,31.0,31.0,31.0,30,0
1788643800,25.8,25.8,25.8,31.0,31.0,31.0,30,0
1788645600,25.3,25.8,25.5,31.0,32.0,31.8,30,0
1788647400,25.3,25.3,25.3,32.0,32.0,32.0,30,0
1788649200,24.9,25.3,25.3,31.0,32.0,31.7,30,0
1788651000,24.8,24.9,24.8,31.0,31.0,31.0,30,0
1788652800,24.8,24.8,24.8,31.0,31.0,31.0,30,0
1788654600,24.8,24.8,24.8,31.0,31.0,31.0,30,0
1788656400,24.8,24.8,24.8,31.0,31.0,31.0,30,0
1788658200,24.8,24.8,24.8,31.0,31.0,31.0,30,0
1788660000,24.8,24.8,24.8,31.0,32.0,31.5,30,0
1788661800,24.8,24.8,24.8,32.0,32.0,32.0,30,0
1788663600,24.8,24.8,24.8,32.0,33.0,33.0,30,0
1788665400,24.8,25.3,25.2,33.0,33.0,33.0,30,0
1788667200,25.3,26.2,25.7,33.0,34.0,33.9,30,0
1788669000,26.2,26.7,26.5,34.0,34.0,34.0,30,0
1788670800,26.7,27.6,27.2,34.0,34.0,34.0,30,0
1788672600,27.6,28.1,27.9,32.0,34.0,32.6,26,0
1788674400,28.5,28.9,28.6,31.0,32.0,31.7,30,0
1788676200,28.9,29.3,29.2,30.0,31.0,30.6,30,0
1788678000,29.3,29.8,29.7,29.0,30.0,29.5,30,0
1788679800,29.8,30.8,30.2,27.0,29.0,27.5,30,0
1788681600,30.8,30.8,30.8,27.0,27.0,27.0,30,0
1788683400,31.3,31.8,31.4,27.0,27.0,27.0,30,0
1788685200,31.8,32.3,32.1,25.0,27.0,25.8,30,0
1788687000,32.3,32.8,32.6,24.0,25.0,24.6,30,0
1788688800,32.8,33.3,33.0,21.0,24.0,23.1,30,0
1788690600,33.3,34.7,33.7,17.0,22.0,19.7,30,0
1788692400,34.7,34.7,34.7,17.0,30.0,19.4,10,0
1788696000,38.0,38.0,38.0,14.0,14.0,14.0,2,0
1788697800,38.0,39.0,38.8,12.0,14.0,13.1,30,0
1788699600,34.2,38.0,36.0,14.0,17.0,15.4,30,0
1788701400,32.8,34.2,33.6,17.0,22.0,19.1,30,0
1788703200,32.3,32.8,32.5,22.0,22.0,22.0,30,0
1788705000,31.3,32.3,31.8,22.0,24.0,23.3,30,0
1788706800,30.8,31.3,31.1,22.0,24.0,22.9,30,0
1788708600,29.8,30.8,30.2,22.0,25.0,22.9,30,0
1788710400,29.3,29.8,29.7,23.0,25.0,23.7,30,0
1788712200,29.3,29.3,29.3,23.0,25.0,23.7,30,0
1788714000,28.9,29.3,29.0,23.0,25.0,23.8,30,0
1788715800,28.5,28.9,28.8,23.0,24.0,23.1,30,0
1788717600,28.5,28.5,28.5,23.0,25.0,24.1,30,0
1788719400,28.0,28.5,28.3,24.0,26.0,24.9,30,0
