ts,t_min,t_max,t_avg,rh_min,rh_max,rh_avg,n,n_fail
1790190000,27.1,27.1,27.1,23.0,23.0,23.0,30,0
1790191800,27.1,27.1,27.1,23.0,23.0,23.0,30,0
1790193600,26.7,27.1,26.9,23.0,24.0,23.8,30,0
1790195400,26.7,26.7,26.7,24.0,24.0,24.0,30,0
1790197200,26.7,26.7,26.7,24.0,24.0,24.0,30,0
1790199000,26.2,26.7,26.5,24.0,24.0,24.0,30,0
1790200800,26.2,26.2,26.2,24.0,24.0,24.0,30,0
1790202600,26.2,26.2,26.2,24.0,25.0,24.2,30,0
1790204400,26.2,26.2,26.2,24.0,26.0,24.7,30,0
1790206200,25.8,26.2,25.9,24.0,24.0,24.0,30,0
1790208000,25.8,25.8,25.8,24.0,25.0,24.0,30,0
1790209800,25.8,25.8,25.8,24.0,26.0,25.2,30,0
1790211600,25.3,25.8,25.4,26.0,26.0,26.0,30,0
1790229600,24.1,24.5,24.5,33.0,33.0,33.0,27,0
1790231400,24.5,24.5,24.5,32.0,33.0,32.6,30,0
1790235000,24.8,25.3,25.1,33.0,34.0,33.3,30,0
1790236800,25.3,26.2,25.9,32.0,34.0,32.8,30,0
1790238600,26.2,26.2,26.2,33.0,33.0,33.0,30,0
1790240400,26.2,26.7,26.6,33.0,33.0,33.0,30,0
1790242200,26.7,27.1,26.8,32.0,33.0,32.3,30,0
1790244000,27.1,27.1,27.1,31.0,32.0,31.3,30,0
1790245800,27.1,27.2,27.1,30.0,31.0,30.2,30,0
1790247600,27.1,27.6,27.4,29.0,30.0,30.0,30,0
1790249400,27.6,27.6,27.6,29.0,30.0,29.1,30,0
1790251200,27.6,27.6,27.6,29.0,29.0,29.0,30,0
1790253000,27.6,28.0,27.8,28.0,29.0,28.5,30,0
1790254800,27.1,27.6,27.5,29.0,29.0,29.0,30,0
1790256600,26.7,27.1,27.0,29.0,30.0,29.2,30,0
1790258400,26.2,26.7,26.6,30.0,30.0,30.0,30,0
1790260200,25.8,26.2,26.0,30.0,30.0,30.0,30,0
1790262000,25.3,25.8,25.6,30.0,30.0,30.0,30,0
1790263800,24.8,25.3,25.1,30.0,30.0,30.0,30,0
1790265600,24.8,24.8,24.8,30.0,30.0,30.0,30,0
1790267400,24.5,24.8,24.6,30.0,30.0,30.0,30,0
1790269200,24.1,24.5,24.2,29.0,30.0,29.4,30,0
1790271000,24.1,24.1,24.1,30.0,30.0,30.0,30,0
1790272800,24.1,24.1,24.1,30.0,31.0,30.3,30,0
1790274600,23.8,24.1,23.9,30.0,31.0,30.1,30,0
